store_id,sku_id,date,sales_quantity,price,region
740,4075,2024-02-19,263,248.42,East
4,484,2024-01-24,298,112.97,South
709,2465,2024-07-05,360,127.96,West
653,1784,2024-02-21,482,77.66,West
244,2828,2024-01-24,85,485.31,South
161,132,2024-01-14,239,260.27,North
782,1716,2024-03-29,429,280.62,West
165,4180,2024-04-18,117,59.88,West
931,2410,2024-12-07,110,456.2,North
550,4802,2024-12-06,270,265.23,East
836,1536,2024-08-31,485,408.76,West
668,1351,2024-12-24,286,388.66,South
515,4355,2024-09-05,438,203.54,West
494,3715,2024-03-17,65,176.05,West
764,4794,2024-11-21,219,188.68,North
944,616,2024-05-25,262,49.92,East
541,246,2024-05-06,220,5.9,North
29,3705,2024-07-07,24,110.73,East
416,2789,2024-03-14,177,251.05,East
214,2418,2024-04-09,453,175.4,North
807,577,2024-06-12,76,28.26,South
998,383,2024-12-03,10,465.5,North
177,2517,2024-04-26,321,182.6,West
874,955,2024-08-11,272,185.39,North
971,1790,2024-07-11,152,357.21,North
484,3374,2024-11-09,56,245.93,North
666,1575,2024-02-21,487,80.06,South
721,2013,2024-12-09,373,438.06,North
329,1263,2024-04-08,90,69.56,South
999,3268,2024-11-07,53,24.44,East
995,304,2024-03-13,431,258.4,East
656,1239,2024-10-11,307,381.77,South
898,3972,2024-05-10,493,366.88,South
177,1742,2024-10-05,372,478.1,North
328,1715,2024-07-20,491,77.05,South
390,4919,2024-06-21,64,421.34,West
655,447,2024-08-03,23,354.97,South
108,2215,2024-01-09,396,47.8,South
978,3041,2024-09-27,336,73.42,West
994,4386,2024-02-05,59,252.1,North
957,3153,2024-02-07,214,59.41,North
213,1188,2024-06-12,391,493.66,North
146,793,2024-12-30,254,318.76,West
30,485,2024-09-18,240,99.93,West
388,1644,2024-01-31,469,446.65,South
515,2948,2024-02-11,445,173.58,West
783,4460,2024-06-25,362,418.84,East
241,4315,2024-05-23,170,281.92,North
747,315,2024-07-07,52,481.6,East
365,4465,2024-02-27,98,13.13,South
129,3244,2024-06-29,40,441.45,South
730,1268,2024-11-10,66,61.01,West
31,1709,2024-06-10,402,245.21,North
550,4316,2024-05-22,322,343.79,North
64,3775,2024-01-22,59,74.78,West
737,1200,2024-03-16,268,161.92,West
867,2005,2024-08-16,165,453.89,West
124,1871,2024-02-08,327,243.81,West
308,4593,2024-11-12,453,290.3,East
927,893,2024-08-17,255,303.03,North
307,2152,2024-01-01,402,128.11,East
157,4444,2024-05-22,112,476.96,South
136,1656,2024-05-17,244,324.76,West
34,1012,2024-10-01,471,27.96,North
801,2648,2024-12-20,112,448.45,South
603,2843,2024-02-26,60,59.91,North
750,3150,2024-06-30,77,151.99,North
263,2171,2024-12-24,477,91.85,North
439,1513,2024-04-05,158,473.76,East
524,164,2024-06-10,131,470.26,West
506,4868,2024-09-14,102,439.02,South
446,4403,2024-09-06,142,285.8,East
93,84,2024-08-16,55,28.41,East
820,4707,2024-01-09,323,124.21,East
770,3370,2024-10-10,473,92.67,East
36,757,2024-07-19,482,129.11,West
94,4024,2024-03-02,393,124.77,West
952,2284,2024-06-19,100,471.02,South
843,269,2024-10-25,468,205.96,South
966,1597,2024-05-15,152,116.05,North
177,1133,2024-08-15,327,39.51,South
