ClientID,Name,RiskProfile
1,Client_1,Low
2,Client_2,High
3,Client_3,High
4,Client_4,Low
5,Client_5,Low
6,Client_6,Medium
7,Client_7,Low
8,Client_8,High
9,Client_9,Low
10,Client_10,Low
11,Client_11,High
12,Client_12,Medium
13,Client_13,Low
14,Client_14,High
15,Client_15,Medium
16,Client_16,Low
17,Client_17,Medium
18,Client_18,Low
19,Client_19,Medium
20,Client_20,High
21,Client_21,High
22,Client_22,Low
23,Client_23,Low
24,Client_24,High
25,Client_25,High
26,Client_26,High
27,Client_27,High
28,Client_28,High
29,Client_29,High
30,Client_30,Low
31,Client_31,High
32,Client_32,High
33,Client_33,Medium
34,Client_34,Low
35,Client_35,Medium
36,Client_36,Medium
37,Client_37,Medium
38,Client_38,Low
39,Client_39,High
40,Client_40,Low
41,Client_41,Low
42,Client_42,Low
43,Client_43,Low
44,Client_44,Low
45,Client_45,High
46,Client_46,Low
47,Client_47,Medium
48,Client_48,High
49,Client_49,High
50,Client_50,Medium
51,Client_51,High
52,Client_52,Medium
53,Client_53,Low
54,Client_54,High
55,Client_55,High
56,Client_56,Medium
57,Client_57,Medium
58,Client_58,Low
59,Client_59,High
60,Client_60,Medium
61,Client_61,Low
62,Client_62,High
63,Client_63,High
64,Client_64,High
65,Client_65,Low
66,Client_66,High
67,Client_67,High
68,Client_68,Medium
69,Client_69,High
70,Client_70,Medium
71,Client_71,Low
72,Client_72,Low
73,Client_73,Medium
74,Client_74,Medium
75,Client_75,High
76,Client_76,Low
77,Client_77,Low
78,Client_78,Low
79,Client_79,High
80,Client_80,Medium
81,Client_81,High
82,Client_82,High
83,Client_83,High
84,Client_84,High
85,Client_85,High
86,Client_86,Medium
87,Client_87,Medium
88,Client_88,High
89,Client_89,High
90,Client_90,High
91,Client_91,Low
92,Client_92,Medium
93,Client_93,High
94,Client_94,High
95,Client_95,High
96,Client_96,Low
97,Client_97,High
98,Client_98,High
99,Client_99,High
100,Client_100,High
101,Client_101,Medium
102,Client_102,Low
103,Client_103,Medium
104,Client_104,Low
105,Client_105,High
106,Client_106,High
107,Client_107,Low
108,Client_108,Low
109,Client_109,High
110,Client_110,High
111,Client_111,High
112,Client_112,Low
113,Client_113,High
114,Client_114,Medium
115,Client_115,Medium
116,Client_116,Low
117,Client_117,Low
118,Client_118,High
119,Client_119,Low
120,Client_120,High
121,Client_121,Medium
122,Client_122,High
123,Client_123,Low
124,Client_124,High
125,Client_125,Low
126,Client_126,High
127,Client_127,High
128,Client_128,Medium
129,Client_129,Medium
130,Client_130,High
131,Client_131,High
132,Client_132,High
133,Client_133,Low
134,Client_134,Medium
135,Client_135,Low
136,Client_136,Medium
137,Client_137,Low
138,Client_138,Medium
139,Client_139,Low
140,Client_140,Medium
141,Client_141,High
142,Client_142,Medium
143,Client_143,Low
144,Client_144,Medium
145,Client_145,Low
146,Client_146,Low
147,Client_147,Medium
148,Client_148,Low
149,Client_149,Low
150,Client_150,High
151,Client_151,High
