transaction_id,customer_id,transaction_amount,transaction_date,status
TRANS00001,CUST0147,7522.17,2024-05-02 14:42:15.749587,successful
TRANS00002,CUST0092,6169.51,2024-10-10 12:58:44.749587,successful
TRANS00003,CUST0150,7373.27,2024-11-12 11:41:37.749587,successful
TRANS00004,CUST0544,3792.42,2024-03-09 20:52:15.749587,failed
TRANS00005,CUST0643,6051.4,2024-09-26 05:50:54.749587,fraudulent
TRANS00006,CUST0971,7660.3,2024-05-05 12:07:23.749587,successful
TRANS00007,CUST0824,1397.47,2024-09-29 11:12:57.749587,successful
TRANS00008,CUST0383,4081.56,2024-11-17 20:46:25.749587,successful
TRANS00009,CUST0757,5439.7,2024-12-23 00:49:10.749587,successful
TRANS00010,CUST0991,9585.17,2024-11-12 06:42:43.749587,successful
TRANS00011,CUST0656,2931.28,2024-12-02 02:55:46.749587,fraudulent
TRANS00012,CUST0771,4994.68,2024-09-20 10:10:41.749587,successful
TRANS00013,CUST0685,5091.64,2024-10-13 03:27:13.749587,successful
TRANS00014,CUST0980,375.81,2024-11-23 16:09:23.749587,successful
TRANS00015,CUST0221,458.76,2025-02-06 10:24:01.749587,successful
TRANS00016,CUST0232,5732.36,2024-05-08 05:49:17.749587,successful
TRANS00017,CUST0273,3635.32,2024-07-10 14:12:42.749587,fraudulent
TRANS00018,CUST0359,3983.38,2024-06-30 06:37:14.749587,successful
TRANS00019,CUST0657,8058.42,2024-08-22 05:18:39.749587,successful
TRANS00020,CUST0812,1593.42,2024-05-13 01:32:25.749587,successful
TRANS00021,CUST0884,3612.73,2024-05-25 11:25:06.749587,successful
TRANS00022,CUST0505,5693.31,2024-09-10 18:07:23.749587,successful
TRANS00023,CUST0876,3278.09,2025-02-05 19:48:17.749587,successful
TRANS00024,CUST0046,6397.0,2024-12-03 02:23:34.749587,successful
TRANS00025,CUST0784,1888.29,2024-12-14 01:21:36.749587,failed
TRANS00026,CUST0069,6767.92,2025-01-29 13:33:21.749587,successful
TRANS00027,CUST0183,251.7,2024-09-12 07:25:00.749587,successful
TRANS00028,CUST0491,2046.46,2024-07-26 05:39:31.749587,successful
TRANS00029,CUST0305,7328.38,2024-05-02 18:34:46.749587,successful
TRANS00030,CUST0024,7873.79,2024-06-17 09:52:12.749587,successful
TRANS00031,CUST0210,4053.19,2024-03-20 04:04:54.749587,successful
TRANS00032,CUST0016,462.63,2024-04-04 02:14:29.749587,successful
TRANS00033,CUST0198,4179.66,2024-11-21 23:44:14.749587,failed
TRANS00034,CUST0724,7722.28,2024-06-26 00:36:10.749587,fraudulent
TRANS00035,CUST0982,4270.96,2024-07-17 20:17:11.749587,successful
TRANS00036,CUST0765,95.75,2024-05-14 16:15:46.749587,successful
TRANS00037,CUST0395,9036.84,2024-04-23 00:16:04.749587,successful
TRANS00038,CUST0249,3362.6,2024-09-10 21:25:34.749587,failed
TRANS00039,CUST0655,1828.73,2024-11-23 20:08:12.749587,successful
TRANS00040,CUST0343,4357.0,2024-09-15 13:14:34.749587,failed
TRANS00041,CUST0598,5277.77,2024-12-02 13:14:20.749587,successful
TRANS00042,CUST0606,3051.09,2024-04-14 20:06:38.749587,successful
TRANS00043,CUST0871,3975.54,2024-10-22 07:03:13.749587,successful
TRANS00044,CUST0333,5836.78,2024-09-07 03:12:29.749587,fraudulent
TRANS00045,CUST0006,1815.31,2024-07-16 17:02:07.749587,successful
TRANS00046,CUST0146,780.46,2024-09-04 10:21:37.749587,successful
TRANS00047,CUST0289,8952.89,2024-07-06 23:07:10.749587,successful
TRANS00048,CUST0495,9559.84,2024-08-07 20:06:56.749587,successful
TRANS00049,CUST0129,7017.13,2024-02-16 09:24:20.749587,successful
TRANS00050,CUST0603,9081.45,2024-02-08 00:52:09.749587,successful
TRANS00051,CUST0536,5078.14,2024-05-14 15:34:33.749587,successful
TRANS00052,CUST0587,5230.63,2024-05-15 12:39:38.749587,failed
TRANS00053,CUST0960,2220.1,2024-06-13 04:08:44.749587,successful
TRANS00054,CUST0242,5324.97,2025-01-18 03:52:45.749587,successful
TRANS00055,CUST0192,6258.24,2024-05-23 11:15:34.749587,successful
TRANS00056,CUST0939,4374.27,2024-06-05 23:40:54.749587,successful
TRANS00057,CUST0480,8571.81,2024-11-16 16:18:20.749587,successful
TRANS00058,CUST0083,6446.27,2024-12-09 10:12:18.749587,successful
TRANS00059,CUST0271,5473.38,2024-12-14 06:57:15.749587,successful
TRANS00060,CUST0028,4791.99,2025-01-11 18:42:47.749587,successful
TRANS00061,CUST0490,1250.49,2025-01-23 07:10:19.749587,successful
TRANS00062,CUST0914,2969.61,2024-04-04 12:05:44.749587,successful
TRANS00063,CUST0287,892.9,2024-06-07 03:08:51.749587,successful
TRANS00064,CUST0330,9088.59,2024-04-18 05:34:29.749587,successful
TRANS00065,CUST0791,4719.86,2024-05-06 07:55:54.749587,successful
TRANS00066,CUST0657,9853.95,2024-08-05 03:54:45.749587,successful
TRANS00067,CUST0139,9194.23,2024-10-03 22:35:21.749587,fraudulent
TRANS00068,CUST0381,5785.16,2024-11-30 03:07:20.749587,successful
TRANS00069,CUST0096,7593.37,2024-10-11 01:14:20.749587,successful
