order_id,warehouse,supplier,product,quantity,order_date,delivery_time
ORD_1,WH_A,Supplier_1,Headphones,73,2024-01-08,6
ORD_2,WH_B,Supplier_1,Smartphone,21,2024-01-03,2
ORD_3,WH_A,Supplier_2,Smartphone,64,2024-01-27,4
ORD_4,WH_C,Supplier_2,Headphones,34,2024-01-26,2
ORD_5,WH_D,Supplier_4,Smartphone,39,2024-01-11,7
ORD_6,WH_E,Supplier_4,Headphones,70,2024-01-15,1
ORD_7,WH_C,Supplier_3,Smartphone,100,2024-01-07,4
ORD_8,WH_C,Supplier_2,Headphones,15,2024-01-02,1
ORD_9,WH_C,Supplier_1,Headphones,36,2024-01-01,5
ORD_10,WH_E,Supplier_1,Smartphone,50,2024-01-29,4
ORD_11,WH_C,Supplier_3,Tablet,94,2024-01-11,5
ORD_12,WH_A,Supplier_3,Headphones,39,2024-01-28,7
ORD_13,WH_B,Supplier_1,Laptop,49,2024-01-07,2
ORD_14,WH_E,Supplier_2,Laptop,22,2024-01-19,6
ORD_15,WH_E,Supplier_1,TV,80,2024-01-06,7
ORD_16,WH_B,Supplier_2,Laptop,50,2024-01-01,3
ORD_17,WH_C,Supplier_3,TV,99,2024-01-12,2
ORD_18,WH_E,Supplier_1,Smartphone,82,2024-01-30,5
ORD_19,WH_A,Supplier_3,Laptop,18,2024-01-11,5
ORD_20,WH_E,Supplier_1,Headphones,49,2024-01-20,3
ORD_21,WH_B,Supplier_5,Laptop,80,2024-01-10,3
ORD_22,WH_C,Supplier_5,TV,68,2024-01-20,6
ORD_23,WH_D,Supplier_4,Headphones,91,2024-01-23,3
ORD_24,WH_C,Supplier_4,Smartphone,5,2024-01-16,2
ORD_25,WH_C,Supplier_4,Tablet,56,2024-01-02,3
ORD_26,WH_D,Supplier_3,Headphones,59,2024-01-09,4
ORD_27,WH_B,Supplier_4,Smartphone,3,2024-01-13,6
ORD_28,WH_C,Supplier_4,Headphones,72,2024-01-15,6
ORD_29,WH_C,Supplier_3,Headphones,17,2024-01-29,1
ORD_30,WH_D,Supplier_4,Smartphone,65,2024-01-10,5
ORD_31,WH_B,Supplier_3,TV,14,2024-01-03,1
ORD_32,WH_D,Supplier_4,Laptop,59,2024-01-25,4
ORD_33,WH_A,Supplier_1,Headphones,91,2024-01-09,7
ORD_34,WH_D,Supplier_2,Tablet,94,2024-01-23,6
ORD_35,WH_A,Supplier_3,Tablet,26,2024-01-09,7
ORD_36,WH_C,Supplier_5,TV,21,2024-01-13,5
ORD_37,WH_E,Supplier_2,TV,80,2024-01-03,5
ORD_38,WH_A,Supplier_4,Laptop,14,2024-01-17,2
ORD_39,WH_B,Supplier_2,Tablet,10,2024-01-25,6
ORD_40,WH_C,Supplier_4,Smartphone,61,2024-01-19,3
ORD_41,WH_D,Supplier_3,Laptop,91,2024-01-13,5
ORD_42,WH_E,Supplier_1,Tablet,75,2024-01-04,2
ORD_43,WH_C,Supplier_1,Headphones,66,2024-01-24,6
ORD_44,WH_B,Supplier_1,Tablet,66,2024-01-05,5
ORD_45,WH_E,Supplier_2,Tablet,14,2024-01-30,5
ORD_46,WH_A,Supplier_2,Smartphone,38,2024-01-15,5
ORD_47,WH_A,Supplier_2,TV,49,2024-01-29,4
ORD_48,WH_D,Supplier_3,Laptop,97,2024-01-04,1
ORD_49,WH_C,Supplier_5,Tablet,30,2024-01-18,7
ORD_50,WH_D,Supplier_2,Laptop,67,2024-01-10,4
ORD_51,WH_C,Supplier_3,Smartphone,91,2024-01-11,4
ORD_52,WH_A,Supplier_5,TV,46,2024-01-07,6
ORD_53,WH_C,Supplier_5,Laptop,52,2024-01-04,1
ORD_54,WH_B,Supplier_3,TV,69,2024-01-28,3
ORD_55,WH_C,Supplier_5,Smartphone,2,2024-01-08,5
ORD_56,WH_C,Supplier_5,TV,53,2024-01-31,5
ORD_57,WH_A,Supplier_5,Laptop,38,2024-01-26,1
ORD_58,WH_B,Supplier_5,Laptop,14,2024-01-07,4
ORD_59,WH_C,Supplier_4,Tablet,38,2024-01-03,3
ORD_60,WH_C,Supplier_3,Tablet,96,2024-01-18,3
ORD_61,WH_A,Supplier_5,Headphones,86,2024-01-06,5
ORD_62,WH_E,Supplier_1,TV,47,2024-01-22,2
ORD_63,WH_E,Supplier_4,Tablet,50,2024-01-17,5
ORD_64,WH_B,Supplier_5,Headphones,4,2024-01-17,5
ORD_65,WH_A,Supplier_4,Laptop,95,2024-01-27,5
ORD_66,WH_D,Supplier_2,Headphones,2,2024-01-11,5
ORD_67,WH_D,Supplier_3,Tablet,79,2024-01-29,7
ORD_68,WH_B,Supplier_4,Headphones,77,2024-01-05,7
ORD_69,WH_E,Supplier_4,Tablet,32,2024-01-01,1
ORD_70,WH_B,Supplier_5,Headphones,66,2024-01-18,1
ORD_71,WH_B,Supplier_4,Headphones,62,2024-01-17,7
ORD_72,WH_C,Supplier_1,Headphones,4,2024-01-24,3
ORD_73,WH_A,Supplier_2,Headphones,10,2024-01-09,3
ORD_74,WH_D,Supplier_4,Laptop,82,2024-01-23,2
ORD_75,WH_B,Supplier_3,Headphones,98,2024-01-11,3
ORD_76,WH_C,Supplier_2,TV,12,2024-01-02,7
ORD_77,WH_C,Supplier_1,TV,50,2024-01-21,4
ORD_78,WH_A,Supplier_5,Tablet,26,2024-01-21,1
ORD_79,WH_E,Supplier_3,Smartphone,61,2024-01-30,2
ORD_80,WH_D,Supplier_5,Headphones,46,2024-01-24,7
ORD_81,WH_D,Supplier_5,Smartphone,28,2024-01-10,1
ORD_82,WH_C,Supplier_3,Smartphone,100,2024-01-27,1
ORD_83,WH_B,Supplier_4,Smartphone,84,2024-01-09,1
ORD_84,WH_D,Supplier_3,TV,19,2024-01-08,3
ORD_85,WH_E,Supplier_3,Tablet,17,2024-01-16,1
ORD_86,WH_C,Supplier_1,Headphones,6,2024-01-20,4
ORD_87,WH_B,Supplier_3,Headphones,59,2024-01-30,5
ORD_88,WH_A,Supplier_4,Headphones,22,2024-01-25,1
ORD_89,WH_B,Supplier_1,Headphones,21,2024-01-19,2
ORD_90,WH_C,Supplier_5,Laptop,92,2024-01-27,4
ORD_91,WH_A,Supplier_4,Headphones,19,2024-01-05,1
ORD_92,WH_E,Supplier_1,Smartphone,56,2024-01-29,6
ORD_93,WH_E,Supplier_5,Headphones,45,2024-01-25,3
ORD_94,WH_B,Supplier_2,Smartphone,82,2024-01-28,2
ORD_95,WH_D,Supplier_4,Smartphone,63,2024-01-01,4
ORD_96,WH_E,Supplier_3,TV,97,2024-01-13,4
ORD_97,WH_E,Supplier_1,Laptop,24,2024-01-10,1
ORD_98,WH_D,Supplier_5,TV,72,2024-01-04,3
ORD_99,WH_C,Supplier_2,Headphones,9,2024-01-10,7
ORD_100,WH_A,Supplier_1,Laptop,69,2024-01-24,6
ORD_101,WH_E,Supplier_1,Laptop,33,2024-01-21,5
ORD_102,WH_C,Supplier_1,Smartphone,27,2024-01-17,6
ORD_103,WH_A,Supplier_1,Headphones,54,2024-01-07,2
ORD_104,WH_D,Supplier_3,TV,25,2024-01-21,2
ORD_105,WH_C,Supplier_2,TV,28,2024-01-24,7
ORD_106,WH_A,Supplier_4,TV,66,2024-01-05,5
ORD_107,WH_D,Supplier_3,Headphones,17,2024-01-26,6
ORD_108,WH_B,Supplier_5,Smartphone,100,2024-01-15,4
ORD_109,WH_C,Supplier_3,Headphones,58,2024-01-09,3
ORD_110,WH_E,Supplier_1,Tablet,54,2024-01-02,3
ORD_111,WH_A,Supplier_4,TV,70,2024-01-28,7
ORD_112,WH_A,Supplier_1,Smartphone,49,2024-01-23,6
ORD_113,WH_C,Supplier_5,Headphones,75,2024-01-26,3
ORD_114,WH_E,Supplier_4,TV,65,2024-01-19,5
ORD_115,WH_E,Supplier_2,Tablet,30,2024-01-05,7
ORD_116,WH_B,Supplier_4,Smartphone,44,2024-01-07,4
ORD_117,WH_B,Supplier_4,Headphones,76,2024-01-17,2
ORD_118,WH_D,Supplier_5,TV,47,2024-01-24,5
