account_id,account_type,balance,customer_name,is_blacklisted
ACC_1,Business,92488.0,Customer_1,0
ACC_2,Checking,63499.11,Customer_2,0
ACC_3,Savings,56326.27,Customer_3,0
ACC_4,Savings,50687.38,Customer_4,0
ACC_5,Checking,80043.35,Customer_5,0
ACC_6,Savings,42479.87,Customer_6,0
ACC_7,Checking,90957.47,Customer_7,0
ACC_8,Business,77585.09,Customer_8,0
ACC_9,Business,36104.03,Customer_9,0
ACC_10,Business,93577.12,Customer_10,0
ACC_11,Checking,45026.55,Customer_11,0
ACC_12,Checking,63979.54,Customer_12,0
ACC_13,Business,68051.47,Customer_13,0
ACC_14,Business,68462.45,Customer_14,0
ACC_15,Business,31267.71,Customer_15,0
ACC_16,Savings,6984.17,Customer_16,0
ACC_17,Checking,37114.85,Customer_17,0
ACC_18,Savings,26484.49,Customer_18,0
ACC_19,Savings,32424.6,Customer_19,0
ACC_20,Savings,38972.06,Customer_20,0
ACC_21,Checking,34113.62,Customer_21,0
ACC_22,Business,13053.97,Customer_22,0
ACC_23,Business,6099.19,Customer_23,0
ACC_24,Checking,63671.23,Customer_24,0
ACC_25,Business,15667.9,Customer_25,0
ACC_26,Business,74376.07,Customer_26,0
ACC_27,Savings,66577.55,Customer_27,0
ACC_28,Checking,63470.16,Customer_28,0
ACC_29,Savings,29634.25,Customer_29,0
ACC_30,Checking,59380.23,Customer_30,0
ACC_31,Checking,66303.62,Customer_31,0
ACC_32,Savings,43127.03,Customer_32,0
ACC_33,Checking,19341.14,Customer_33,0
ACC_34,Business,54796.13,Customer_34,0
ACC_35,Business,19349.44,Customer_35,0
ACC_36,Business,80135.74,Customer_36,0
ACC_37,Savings,91745.09,Customer_37,0
ACC_38,Business,3981.55,Customer_38,0
ACC_39,Savings,97596.23,Customer_39,0
ACC_40,Checking,5597.27,Customer_40,0
ACC_41,Savings,16453.28,Customer_41,0
ACC_42,Savings,35746.55,Customer_42,0
ACC_43,Savings,34998.74,Customer_43,0
ACC_44,Checking,29938.33,Customer_44,0
ACC_45,Savings,4382.52,Customer_45,0
ACC_46,Business,21999.29,Customer_46,0
ACC_47,Business,97487.9,Customer_47,0
ACC_48,Checking,15600.46,Customer_48,0
ACC_49,Checking,15599.62,Customer_49,0
ACC_50,Checking,44113.11,Customer_50,0
ACC_51,Business,24856.95,Customer_51,0
ACC_52,Business,15886.41,Customer_52,0
ACC_53,Business,49092.47,Customer_53,0
ACC_54,Checking,93101.65,Customer_54,0
ACC_55,Savings,14618.99,Customer_55,0
ACC_56,Savings,59990.54,Customer_56,0
ACC_57,Savings,83494.89,Customer_57,0
ACC_58,Checking,40098.61,Customer_58,0
ACC_59,Checking,48712.94,Customer_59,0
ACC_60,Business,68538.19,Customer_60,0
ACC_61,Checking,48571.24,Customer_61,0
ACC_62,Business,58351.95,Customer_62,0
ACC_63,Checking,41828.71,Customer_63,0
ACC_64,Business,35996.83,Customer_64,0
ACC_65,Business,46312.59,Customer_65,0
ACC_66,Business,95997.03,Customer_66,0
