loan_id,customer_id,loan_amount,interest_rate,loan_term,loan_status
LOAN_1,CUST_1603,315176.11,8.51,60,Rejected
LOAN_2,CUST_6857,28973.97,6.09,48,Pending
LOAN_3,CUST_6398,51346.42,4.88,12,Approved
LOAN_4,CUST_788,351104.59,4.01,24,Pending
LOAN_5,CUST_9815,305925.71,4.9,48,Approved
LOAN_6,CUST_6311,344063.38,10.41,24,Pending
LOAN_7,CUST_958,353222.6,4.04,60,Rejected
LOAN_8,CUST_2459,258320.33,10.29,48,Rejected
LOAN_9,CUST_9274,194083.29,9.25,36,Pending
LOAN_10,CUST_179,31661.46,4.18,36,Rejected
LOAN_11,CUST_2626,227413.14,7.96,48,Approved
LOAN_12,CUST_3071,122195.7,6.43,12,Rejected
LOAN_13,CUST_1463,122095.44,2.63,36,Pending
LOAN_14,CUST_3142,255758.27,2.85,12,Pending
LOAN_15,CUST_7755,392191.18,2.62,36,Pending
LOAN_16,CUST_4178,351362.09,6.72,60,Rejected
LOAN_17,CUST_8001,92194.51,6.12,60,Pending
LOAN_18,CUST_2537,220216.99,7.93,48,Approved
LOAN_19,CUST_732,221088.27,9.83,12,Rejected
LOAN_20,CUST_6229,489606.97,7.33,12,Pending
LOAN_21,CUST_5849,454233.77,8.13,12,Rejected
LOAN_22,CUST_1012,416074.48,9.08,60,Pending
LOAN_23,CUST_6605,387294.04,4.74,12,Approved
LOAN_24,CUST_1311,117784.81,3.12,12,Pending
LOAN_25,CUST_5214,35689.27,5.16,48,Rejected
LOAN_26,CUST_3976,495850.63,3.18,12,Pending
LOAN_27,CUST_4628,237465.02,6.96,12,Rejected
LOAN_28,CUST_7150,158307.11,3.38,60,Pending
LOAN_29,CUST_3677,455914.77,4.5,48,Rejected
LOAN_30,CUST_4216,147385.84,9.48,48,Rejected
LOAN_31,CUST_1303,370064.23,5.28,48,Pending
LOAN_32,CUST_1939,159955.81,10.22,12,Pending
LOAN_33,CUST_2524,174776.42,4.94,48,Pending
LOAN_34,CUST_9351,405019.9,4.64,36,Pending
LOAN_35,CUST_1303,246903.86,9.66,24,Approved
LOAN_36,CUST_5940,366460.37,5.77,48,Rejected
LOAN_37,CUST_1523,19240.81,9.95,48,Rejected
