account_id,account_type,balance,customer_name
ACC_1,Business,5095.11,Customer_1
ACC_2,Savings,16893.84,Customer_2
ACC_3,Savings,13417.19,Customer_3
ACC_4,Checking,13970.81,Customer_4
ACC_5,Savings,5623.39,Customer_5
ACC_6,Checking,39798.84,Customer_6
ACC_7,Savings,2099.81,Customer_7
ACC_8,Business,49940.17,Customer_8
ACC_9,Savings,5966.69,Customer_9
ACC_10,Business,33014.37,Customer_10
ACC_11,Savings,36312.83,Customer_11
ACC_12,Business,13382.78,Customer_12
ACC_13,Business,32278.72,Customer_13
ACC_14,Savings,17389.68,Customer_14
ACC_15,Checking,40723.69,Customer_15
ACC_16,Business,37670.36,Customer_16
ACC_17,Business,39098.84,Customer_17
ACC_18,Savings,13472.54,Customer_18
ACC_19,Checking,2495.2,Customer_19
ACC_20,Savings,33869.86,Customer_20
ACC_21,Business,47132.13,Customer_21
ACC_22,Checking,49580.11,Customer_22
ACC_23,Business,3579.35,Customer_23
ACC_24,Checking,21887.13,Customer_24
ACC_25,Checking,16778.06,Customer_25
ACC_26,Business,6136.38,Customer_26
ACC_27,Business,34096.69,Customer_27
ACC_28,Savings,27761.83,Customer_28
ACC_29,Checking,43947.22,Customer_29
ACC_30,Business,29329.99,Customer_30
ACC_31,Savings,3401.95,Customer_31
ACC_32,Business,28463.92,Customer_32
ACC_33,Savings,3597.17,Customer_33
ACC_34,Savings,49716.26,Customer_34
ACC_35,Business,43329.59,Customer_35
ACC_36,Checking,16254.56,Customer_36
ACC_37,Savings,40180.12,Customer_37
ACC_38,Savings,47753.71,Customer_38
ACC_39,Savings,12519.98,Customer_39
ACC_40,Savings,39443.13,Customer_40
ACC_41,Business,20014.56,Customer_41
ACC_42,Savings,38530.47,Customer_42
ACC_43,Savings,12300.72,Customer_43
ACC_44,Checking,42144.42,Customer_44
ACC_45,Savings,29590.43,Customer_45
ACC_46,Savings,49921.6,Customer_46
ACC_47,Savings,35663.7,Customer_47
ACC_48,Savings,36929.7,Customer_48
ACC_49,Savings,45222.32,Customer_49
ACC_50,Checking,9689.83,Customer_50
ACC_51,Savings,15187.89,Customer_51
ACC_52,Savings,30067.57,Customer_52
ACC_53,Savings,10231.45,Customer_53
ACC_54,Checking,31912.5,Customer_54
ACC_55,Savings,22053.44,Customer_55
ACC_56,Savings,19815.87,Customer_56
ACC_57,Business,28674.94,Customer_57
ACC_58,Checking,21537.05,Customer_58
ACC_59,Business,3966.24,Customer_59
ACC_60,Business,14550.65,Customer_60
ACC_61,Checking,48986.37,Customer_61
ACC_62,Savings,34251.33,Customer_62
ACC_63,Savings,38804.43,Customer_63
ACC_64,Business,12747.96,Customer_64
ACC_65,Checking,35708.12,Customer_65
ACC_66,Checking,10215.42,Customer_66
ACC_67,Savings,32535.14,Customer_67
ACC_68,Savings,29551.99,Customer_68
ACC_69,Checking,17384.75,Customer_69
ACC_70,Savings,39892.62,Customer_70
ACC_71,Checking,25244.66,Customer_71
ACC_72,Business,30618.72,Customer_72
ACC_73,Checking,15670.27,Customer_73
ACC_74,Business,24756.88,Customer_74
ACC_75,Business,31776.74,Customer_75
ACC_76,Savings,9040.99,Customer_76
ACC_77,Business,48182.04,Customer_77
ACC_78,Checking,49883.03,Customer_78
ACC_79,Savings,30199.78,Customer_79
ACC_80,Savings,12376.69,Customer_80
ACC_81,Business,8736.0,Customer_81
ACC_82,Checking,31778.56,Customer_82
ACC_83,Savings,2717.19,Customer_83
ACC_84,Checking,26195.87,Customer_84
ACC_85,Business,47225.95,Customer_85
ACC_86,Checking,45030.04,Customer_86
ACC_87,Business,26537.38,Customer_87
ACC_88,Business,43690.84,Customer_88
ACC_89,Business,28550.44,Customer_89
ACC_90,Checking,25809.71,Customer_90
ACC_91,Checking,23234.15,Customer_91
ACC_92,Savings,8144.27,Customer_92
ACC_93,Savings,21576.66,Customer_93
ACC_94,Savings,24865.23,Customer_94
ACC_95,Business,21983.45,Customer_95
ACC_96,Savings,21541.16,Customer_96
ACC_97,Business,27755.01,Customer_97
ACC_98,Business,6361.83,Customer_98
ACC_99,Checking,38656.46,Customer_99
ACC_100,Savings,43664.01,Customer_100
ACC_101,Savings,13560.17,Customer_101
ACC_102,Checking,29621.29,Customer_102
ACC_103,Business,40676.96,Customer_103
ACC_104,Checking,3538.0,Customer_104
ACC_105,Business,21795.01,Customer_105
ACC_106,Business,37572.71,Customer_106
ACC_107,Savings,16802.94,Customer_107
ACC_108,Savings,47830.1,Customer_108
ACC_109,Checking,45128.36,Customer_109
ACC_110,Savings,35028.42,Customer_110
ACC_111,Checking,46824.53,Customer_111
ACC_112,Business,28596.09,Customer_112
ACC_113,Savings,9833.42,Customer_113
ACC_114,Savings,2035.74,Customer_114
ACC_115,Savings,48016.71,Customer_115
ACC_116,Savings,23175.63,Customer_116
ACC_117,Savings,44497.76,Customer_117
ACC_118,Business,48821.74,Customer_118
ACC_119,Checking,31304.6,Customer_119
ACC_120,Business,43436.46,Customer_120
ACC_121,Checking,8697.59,Customer_121
ACC_122,Savings,47014.84,Customer_122
ACC_123,Checking,41645.3,Customer_123
ACC_124,Business,1681.47,Customer_124
ACC_125,Checking,20419.26,Customer_125
ACC_126,Checking,25153.6,Customer_126
ACC_127,Business,12749.45,Customer_127
ACC_128,Checking,3668.41,Customer_128
ACC_129,Checking,3565.7,Customer_129
ACC_130,Business,2410.98,Customer_130
ACC_131,Savings,29917.37,Customer_131
ACC_132,Savings,34837.7,Customer_132
ACC_133,Checking,42625.93,Customer_133
ACC_134,Checking,37939.2,Customer_134
ACC_135,Checking,35237.27,Customer_135
ACC_136,Savings,24896.87,Customer_136
ACC_137,Checking,18452.24,Customer_137
ACC_138,Business,6522.31,Customer_138
ACC_139,Business,28310.1,Customer_139
ACC_140,Business,7813.71,Customer_140
ACC_141,Savings,33572.76,Customer_141
ACC_142,Checking,35564.69,Customer_142
ACC_143,Checking,21535.01,Customer_143
ACC_144,Savings,32921.91,Customer_144
ACC_145,Savings,11344.35,Customer_145
ACC_146,Checking,12451.73,Customer_146
ACC_147,Checking,41045.28,Customer_147
ACC_148,Business,39099.77,Customer_148
ACC_149,Checking,9525.98,Customer_149
ACC_150,Savings,10587.1,Customer_150
ACC_151,Savings,19277.67,Customer_151
ACC_152,Checking,30993.02,Customer_152
ACC_153,Savings,39677.35,Customer_153
ACC_154,Checking,30457.22,Customer_154
ACC_155,Business,19709.84,Customer_155
ACC_156,Business,26145.95,Customer_156
ACC_157,Checking,20773.54,Customer_157
ACC_158,Business,35724.41,Customer_158
ACC_159,Business,39381.72,Customer_159
ACC_160,Checking,14865.07,Customer_160
ACC_161,Checking,15495.55,Customer_161
ACC_162,Checking,32502.59,Customer_162
ACC_163,Business,44293.25,Customer_163
ACC_164,Business,17970.31,Customer_164
ACC_165,Business,15865.23,Customer_165
ACC_166,Checking,25636.49,Customer_166
ACC_167,Business,1606.05,Customer_167
ACC_168,Business,9385.36,Customer_168
ACC_169,Checking,37990.48,Customer_169
ACC_170,Checking,29951.87,Customer_170
ACC_171,Checking,42474.83,Customer_171
ACC_172,Savings,37777.2,Customer_172
ACC_173,Checking,10819.53,Customer_173
ACC_174,Business,41434.07,Customer_174
ACC_175,Savings,29585.81,Customer_175
ACC_176,Business,1117.12,Customer_176
ACC_177,Savings,42095.74,Customer_177
ACC_178,Savings,5410.72,Customer_178
ACC_179,Business,27053.99,Customer_179
ACC_180,Business,1530.78,Customer_180
ACC_181,Business,19454.26,Customer_181
ACC_182,Business,37835.08,Customer_182
ACC_183,Checking,24081.56,Customer_183
ACC_184,Business,44703.91,Customer_184
ACC_185,Savings,2078.85,Customer_185
ACC_186,Business,41589.23,Customer_186
ACC_187,Checking,37412.16,Customer_187
ACC_188,Savings,4994.52,Customer_188
ACC_189,Business,8830.12,Customer_189
ACC_190,Savings,18387.79,Customer_190
ACC_191,Checking,4077.76,Customer_191
ACC_192,Business,29662.74,Customer_192
ACC_193,Savings,36372.12,Customer_193
ACC_194,Checking,20839.82,Customer_194
ACC_195,Business,9170.06,Customer_195
ACC_196,Savings,8897.45,Customer_196
ACC_197,Checking,9547.44,Customer_197
ACC_198,Checking,24922.25,Customer_198
ACC_199,Savings,23441.34,Customer_199
ACC_200,Business,29251.31,Customer_200
ACC_201,Savings,48741.67,Customer_201
ACC_202,Savings,9789.67,Customer_202
ACC_203,Business,46799.09,Customer_203
ACC_204,Checking,20363.39,Customer_204
ACC_205,Business,24579.68,Customer_205
ACC_206,Checking,30713.41,Customer_206
ACC_207,Savings,25688.14,Customer_207
ACC_208,Savings,5458.26,Customer_208
ACC_209,Savings,47216.58,Customer_209
ACC_210,Checking,40209.96,Customer_210
ACC_211,Business,48634.35,Customer_211
ACC_212,Checking,10956.52,Customer_212
ACC_213,Savings,49363.01,Customer_213
ACC_214,Business,14136.6,Customer_214
ACC_215,Business,37414.17,Customer_215
ACC_216,Business,22134.5,Customer_216
ACC_217,Savings,46999.85,Customer_217
ACC_218,Business,15287.68,Customer_218
ACC_219,Checking,17863.15,Customer_219
ACC_220,Business,28816.81,Customer_220
ACC_221,Checking,13502.12,Customer_221
ACC_222,Business,13358.95,Customer_222
ACC_223,Savings,14962.11,Customer_223
ACC_224,Checking,14604.14,Customer_224
ACC_225,Business,20608.1,Customer_225
ACC_226,Savings,29678.79,Customer_226
ACC_227,Checking,15055.56,Customer_227
ACC_228,Savings,20893.41,Customer_228
ACC_229,Checking,37615.3,Customer_229
ACC_230,Savings,15811.25,Customer_230
ACC_231,Checking,28975.69,Customer_231
ACC_232,Checking,8702.2,Customer_232
ACC_233,Savings,33485.2,Customer_233
ACC_234,Checking,36457.1,Customer_234
ACC_235,Checking,47583.78,Customer_235
ACC_236,Checking,15206.6,Customer_236
ACC_237,Checking,11830.6,Customer_237
ACC_238,Business,19983.86,Customer_238
ACC_239,Savings,29122.85,Customer_239
ACC_240,Checking,27971.2,Customer_240
ACC_241,Checking,14964.97,Customer_241
ACC_242,Savings,41230.06,Customer_242
ACC_243,Savings,48572.77,Customer_243
ACC_244,Checking,43761.88,Customer_244
ACC_245,Business,40921.67,Customer_245
ACC_246,Checking,31800.72,Customer_246
ACC_247,Business,43655.3,Customer_247
ACC_248,Checking,1088.62,Customer_248
ACC_249,Savings,26457.79,Customer_249
ACC_250,Checking,18328.41,Customer_250
ACC_251,Checking,30869.17,Customer_251
ACC_252,Checking,2386.09,Customer_252
ACC_253,Checking,5621.97,Customer_253
ACC_254,Checking,29345.39,Customer_254
ACC_255,Business,3401.4,Customer_255
ACC_256,Business,25474.06,Customer_256
ACC_257,Checking,35065.93,Customer_257
ACC_258,Savings,33349.53,Customer_258
ACC_259,Checking,33258.28,Customer_259
ACC_260,Checking,39498.34,Customer_260
ACC_261,Checking,29807.59,Customer_261
ACC_262,Checking,2678.34,Customer_262
ACC_263,Checking,44306.84,Customer_263
ACC_264,Savings,28463.03,Customer_264
ACC_265,Savings,25028.37,Customer_265
ACC_266,Business,5659.89,Customer_266
ACC_267,Savings,13959.35,Customer_267
ACC_268,Checking,10483.28,Customer_268
ACC_269,Savings,7514.19,Customer_269
ACC_270,Business,31067.27,Customer_270
ACC_271,Business,31211.17,Customer_271
ACC_272,Business,28970.57,Customer_272
ACC_273,Checking,2323.32,Customer_273
ACC_274,Business,28798.78,Customer_274
ACC_275,Savings,29500.31,Customer_275
ACC_276,Savings,12486.73,Customer_276
ACC_277,Checking,32087.96,Customer_277
ACC_278,Business,41163.05,Customer_278
ACC_279,Checking,30493.47,Customer_279
ACC_280,Checking,9538.29,Customer_280
ACC_281,Business,49777.68,Customer_281
ACC_282,Savings,13581.41,Customer_282
ACC_283,Checking,4662.6,Customer_283
ACC_284,Checking,3733.1,Customer_284
ACC_285,Savings,26560.74,Customer_285
ACC_286,Savings,7009.52,Customer_286
ACC_287,Savings,7757.03,Customer_287
