loan_id,customer_id,loan_amount,interest_rate,loan_term,loan_status
LOAN_1,CUST_623,356880.6,2.68,12,Rejected
LOAN_2,CUST_3299,408851.88,7.34,12,Pending
LOAN_3,CUST_2356,454599.98,9.19,36,Approved
LOAN_4,CUST_3598,228835.23,8.57,36,Rejected
LOAN_5,CUST_305,73602.87,5.63,36,Rejected
LOAN_6,CUST_9492,89225.37,3.33,48,Pending
LOAN_7,CUST_7978,46994.41,9.47,12,Approved
LOAN_8,CUST_9382,197149.52,4.97,12,Approved
LOAN_9,CUST_4788,102803.98,2.82,36,Pending
LOAN_10,CUST_6463,162353.48,3.73,60,Pending
LOAN_11,CUST_5059,225898.53,2.67,24,Approved
LOAN_12,CUST_1783,267359.05,10.08,60,Rejected
LOAN_13,CUST_4753,10086.77,3.43,12,Approved
LOAN_14,CUST_8810,90571.74,9.6,36,Pending
LOAN_15,CUST_7143,184285.11,4.06,48,Pending
LOAN_16,CUST_9330,393331.45,5.67,60,Pending
LOAN_17,CUST_5238,316089.28,5.1,36,Rejected
LOAN_18,CUST_3032,326021.41,2.76,12,Rejected
LOAN_19,CUST_8544,396553.0,7.94,48,Rejected
LOAN_20,CUST_1461,114976.85,8.2,12,Pending
LOAN_21,CUST_7002,389720.0,8.97,60,Rejected
LOAN_22,CUST_8100,430184.57,10.03,60,Pending
LOAN_23,CUST_3800,38773.81,5.15,24,Rejected
LOAN_24,CUST_4331,257448.17,5.14,48,Approved
LOAN_25,CUST_6826,300165.5,10.33,12,Rejected
LOAN_26,CUST_1006,217767.58,3.61,60,Rejected
LOAN_27,CUST_5652,424600.55,9.63,12,Pending
LOAN_28,CUST_9381,308947.07,2.76,24,Rejected
LOAN_29,CUST_2168,172801.5,7.87,48,Approved
LOAN_30,CUST_5147,176188.82,6.15,24,Approved
LOAN_31,CUST_8772,177419.26,8.05,60,Pending
LOAN_32,CUST_4640,318347.07,3.74,24,Approved
LOAN_33,CUST_6219,153372.23,6.64,36,Approved
LOAN_34,CUST_4953,215400.44,10.07,48,Approved
LOAN_35,CUST_1433,21403.53,6.64,48,Pending
LOAN_36,CUST_3243,83994.41,3.41,48,Approved
LOAN_37,CUST_7968,314495.06,7.81,24,Rejected
LOAN_38,CUST_2062,373943.85,3.33,12,Rejected
LOAN_39,CUST_482,121091.55,8.08,48,Pending
LOAN_40,CUST_6395,206406.1,9.5,24,Approved
LOAN_41,CUST_2695,440581.57,3.34,12,Pending
LOAN_42,CUST_6972,383729.33,3.42,12,Pending
LOAN_43,CUST_3117,117657.04,4.14,60,Pending
LOAN_44,CUST_8780,385312.01,7.94,12,Pending
LOAN_45,CUST_1511,482073.39,8.59,60,Rejected
LOAN_46,CUST_2593,39377.47,5.15,48,Rejected
LOAN_47,CUST_8686,251766.65,9.53,24,Approved
LOAN_48,CUST_1924,458041.42,7.43,12,Rejected
LOAN_49,CUST_3842,208678.67,8.17,60,Approved
LOAN_50,CUST_6632,316214.72,3.64,60,Pending
LOAN_51,CUST_6448,268548.69,9.57,48,Pending
