transaction_id,customer_id,transaction_amount,transaction_type,account_type,timestamp,branch_id,currency,transaction_status
TID1_1,CUST62,4595.69,Debit,Checking,2025-02-05 14:06:26.670345,B004,INR,Success
TIDCUST62_2,CUST81,4975.57,Debit,Savings,2025-02-05 03:29:26.670345,B005,INR,Success
TIDCUST81_3,CUST111,3291.85,Credit,Savings,2025-02-12 15:12:26.670345,B001,INR,Success
TIDCUST111_4,CUST295,837.49,Credit,Checking,2025-01-30 14:50:26.670345,B001,GBP,Failure
TIDCUST295_5,CUST138,918.77,Debit,Savings,2025-02-02 04:05:26.670345,B005,GBP,Success
TIDCUST138_6,CUST87,2512.93,Credit,Checking,2025-02-05 07:55:26.670345,B003,USD,Success
TIDCUST87_7,CUST76,81.25,Credit,Checking,2025-02-01 00:32:26.670345,B001,GBP,Failure
TIDCUST76_8,CUST93,4252.7,Credit,Savings,2025-02-03 13:59:26.670345,B003,EUR,Failure
TIDCUST93_9,CUST193,609.17,Debit,Savings,2025-02-09 19:11:26.670345,B002,EUR,Success
TIDCUST193_10,CUST52,1217.65,Credit,Savings,2025-02-08 17:34:26.670345,B002,USD,Failure
TIDCUST52_11,CUST281,517.01,Debit,Checking,2025-02-10 05:00:26.670345,B002,USD,Success
TIDCUST281_12,CUST196,295.69,Credit,Savings,2025-02-11 05:53:26.670345,B004,USD,Failure
TIDCUST196_13,CUST52,2642.1,Debit,Checking,2025-01-21 04:13:26.670345,B003,GBP,Success
TIDCUST52_14,CUST361,3495.18,Debit,Savings,2025-02-10 17:22:26.670345,B001,USD,Failure
TIDCUST361_15,CUST398,1468.62,Debit,Savings,2025-02-12 12:06:26.670345,B001,EUR,Success
TIDCUST398_16,CUST26,2779.35,Debit,Checking,2025-01-25 06:59:26.670345,B001,GBP,Failure
TIDCUST26_17,CUST454,85.08,Debit,Checking,2025-01-30 20:39:26.670345,B004,EUR,Failure
TIDCUST454_18,CUST452,112.64,Credit,Savings,2025-01-27 00:43:26.670345,B001,INR,Failure
TIDCUST452_19,CUST158,3659.46,Debit,Checking,2025-01-24 09:59:26.670345,B001,GBP,Failure
TIDCUST158_20,CUST284,4094.63,Credit,Savings,2025-02-08 19:30:26.670345,B003,GBP,Success
TIDCUST284_21,CUST118,2242.62,Credit,Checking,2025-01-31 02:32:26.670345,B004,GBP,Success
TIDCUST118_22,CUST332,2953.03,Credit,Savings,2025-01-18 01:22:26.670345,B001,INR,Success
TIDCUST332_23,CUST110,177.07,Credit,Checking,2025-01-27 23:47:26.670345,B004,GBP,Failure
TIDCUST110_24,CUST310,2857.08,Debit,Checking,2025-02-02 04:33:26.670345,B002,GBP,Failure
TIDCUST310_25,CUST33,1316.02,Debit,Savings,2025-02-06 13:44:26.670345,B004,GBP,Success
TIDCUST33_26,CUST313,777.52,Credit,Savings,2025-01-22 02:38:26.670345,B005,INR,Failure
TIDCUST313_27,CUST70,741.67,Credit,Checking,2025-01-29 05:05:26.670345,B002,EUR,Failure
TIDCUST70_28,CUST346,75.42,Debit,Savings,2025-02-01 04:22:26.670345,B005,INR,Failure
TIDCUST346_29,CUST419,219.64,Debit,Savings,2025-01-14 07:36:26.670345,B002,EUR,Failure
TIDCUST419_30,CUST476,1496.38,Credit,Checking,2025-02-06 19:42:26.670345,B001,USD,Failure
TIDCUST476_31,CUST233,4563.24,Credit,Savings,2025-01-19 14:58:26.670345,B004,USD,Success
TIDCUST233_32,CUST290,233.84,Credit,Savings,2025-01-23 19:40:26.670345,B004,GBP,Success
TIDCUST290_33,CUST362,117.75,Debit,Savings,2025-01-17 18:01:26.670345,B003,USD,Success
TIDCUST362_34,CUST185,3268.34,Credit,Checking,2025-01-26 21:39:26.670345,B004,INR,Failure
TIDCUST185_35,CUST65,1234.97,Debit,Checking,2025-02-07 05:26:26.670345,B002,EUR,Success
TIDCUST65_36,CUST142,948.14,Credit,Checking,2025-01-26 04:25:26.670345,B005,EUR,Success
TIDCUST142_37,CUST337,761.39,Credit,Savings,2025-02-09 07:24:26.670345,B002,USD,Failure
TIDCUST337_38,CUST389,3241.79,Credit,Checking,2025-01-24 02:35:26.670345,B003,GBP,Success
TIDCUST389_39,CUST257,2864.31,Credit,Savings,2025-01-27 10:00:26.670345,B005,INR,Success
TIDCUST257_40,CUST250,4934.4,Debit,Checking,2025-01-26 18:09:26.670345,B003,EUR,Success
TIDCUST250_41,CUST280,1378.87,Debit,Checking,2025-01-15 14:21:26.670345,B002,GBP,Success
TIDCUST280_42,CUST29,4222.47,Credit,Checking,2025-02-09 01:37:26.670345,B003,GBP,Success
TIDCUST29_43,CUST338,3847.09,Credit,Savings,2025-02-04 13:55:26.670345,B002,INR,Success
TIDCUST338_44,CUST432,1318.24,Debit,Savings,2025-01-17 05:35:26.670345,B004,GBP,Failure
TIDCUST432_45,CUST416,4781.64,Debit,Savings,2025-02-05 04:56:26.670345,B001,USD,Success
TIDCUST416_46,CUST195,1517.82,Credit,Checking,2025-02-11 01:47:26.670345,B003,USD,Success
TIDCUST195_47,CUST367,1153.26,Debit,Savings,2025-01-24 15:00:26.670345,B004,INR,Success
TIDCUST367_48,CUST129,171.82,Debit,Checking,2025-01-28 21:00:26.670345,B004,INR,Failure
TIDCUST129_49,CUST38,4317.93,Debit,Checking,2025-02-04 08:15:26.670345,B001,USD,Failure
TIDCUST38_50,CUST299,1021.4,Credit,Checking,2025-01-25 20:07:26.670345,B001,EUR,Failure
TIDCUST299_51,CUST498,2729.34,Credit,Savings,2025-01-20 13:46:26.670345,B002,INR,Success
TIDCUST498_52,CUST406,850.28,Credit,Checking,2025-01-23 10:09:26.670345,B001,INR,Failure
TIDCUST406_53,CUST256,2191.43,Debit,Savings,2025-01-29 05:42:26.670345,B003,GBP,Success
TIDCUST256_54,CUST258,3992.59,Credit,Checking,2025-02-08 15:40:26.670345,B003,EUR,Failure
TIDCUST258_55,CUST270,3330.25,Debit,Savings,2025-01-24 13:09:26.670345,B001,GBP,Failure
TIDCUST270_56,CUST6,1271.02,Credit,Savings,2025-02-12 14:47:26.670345,B002,USD,Failure
TIDCUST6_57,CUST248,2928.36,Credit,Checking,2025-01-20 20:20:26.670345,B001,INR,Success
TIDCUST248_58,CUST332,2461.27,Debit,Savings,2025-01-31 14:48:26.670345,B002,GBP,Success
TIDCUST332_59,CUST32,719.9,Debit,Checking,2025-01-22 20:32:26.670345,B002,GBP,Success
TIDCUST32_60,CUST100,414.48,Debit,Savings,2025-01-22 12:58:26.670345,B005,INR,Success
TIDCUST100_61,CUST166,3863.83,Credit,Savings,2025-02-01 18:42:26.670345,B001,USD,Success
TIDCUST166_62,CUST105,2447.38,Credit,Savings,2025-01-18 21:31:26.670345,B004,USD,Success
TIDCUST105_63,CUST132,3803.62,Debit,Savings,2025-01-16 14:00:26.670345,B003,INR,Failure
TIDCUST132_64,CUST433,3429.05,Debit,Checking,2025-01-20 06:25:26.670345,B002,EUR,Success
TIDCUST433_65,CUST430,4612.76,Debit,Savings,2025-02-10 16:26:26.670345,B001,GBP,Success
TIDCUST430_66,CUST59,3941.48,Credit,Savings,2025-02-09 22:58:26.670345,B003,INR,Success
TIDCUST59_67,CUST67,1875.52,Credit,Checking,2025-02-12 13:36:26.670345,B003,GBP,Success
TIDCUST67_68,CUST192,1604.78,Credit,Checking,2025-01-28 07:40:26.670345,B001,USD,Success
TIDCUST192_69,CUST5,606.23,Credit,Savings,2025-01-28 14:10:26.670345,B005,EUR,Success
TIDCUST5_70,CUST240,3166.73,Debit,Checking,2025-02-05 08:15:26.670345,B004,GBP,Success
TIDCUST240_71,CUST391,3695.02,Debit,Savings,2025-01-24 08:44:26.670345,B004,EUR,Failure
TIDCUST391_72,CUST20,2680.96,Debit,Savings,2025-01-24 13:49:26.670345,B001,EUR,Failure
TIDCUST20_73,CUST399,4375.94,Debit,Savings,2025-01-19 00:17:26.670345,B001,USD,Success
TIDCUST399_74,CUST406,4625.92,Debit,Checking,2025-01-15 07:34:26.670345,B002,INR,Success
TIDCUST406_75,CUST94,2901.12,Debit,Savings,2025-02-07 07:09:26.670345,B003,INR,Failure
TIDCUST94_76,CUST41,1361.54,Credit,Savings,2025-02-07 18:48:26.670345,B005,INR,Failure
TIDCUST41_77,CUST45,1929.15,Debit,Savings,2025-02-11 14:26:26.670345,B002,INR,Failure
TIDCUST45_78,CUST147,1170.47,Credit,Checking,2025-01-26 23:14:26.670345,B003,EUR,Failure
TIDCUST147_79,CUST95,2320.02,Debit,Savings,2025-02-10 16:12:26.670345,B004,USD,Success
TIDCUST95_80,CUST267,1739.63,Credit,Savings,2025-02-04 08:04:26.670345,B004,USD,Success
TIDCUST267_81,CUST28,1746.02,Debit,Checking,2025-01-30 02:26:26.670345,B005,INR,Success
TIDCUST28_82,CUST205,1441.42,Debit,Savings,2025-01-20 12:12:26.670345,B003,USD,Failure
TIDCUST205_83,CUST145,1698.82,Credit,Savings,2025-01-16 09:37:26.670345,B002,INR,Success
TIDCUST145_84,CUST426,3958.9,Debit,Savings,2025-01-19 17:56:26.670345,B001,EUR,Failure
TIDCUST426_85,CUST309,3049.1,Debit,Savings,2025-01-20 10:01:26.670345,B003,INR,Failure
TIDCUST309_86,CUST283,3742.82,Credit,Savings,2025-01-28 15:39:26.670345,B003,USD,Failure
TIDCUST283_87,CUST225,2508.32,Debit,Savings,2025-02-09 17:44:26.670345,B002,EUR,Success
TIDCUST225_88,CUST258,1648.3,Credit,Checking,2025-01-14 11:10:26.670345,B002,GBP,Failure
