transaction_id,account_id,transaction_type,amount,currency,channel,transaction_date,status,location,customer_age,customer_income,loan_amount,credit_score
TXN193186,ACC00310,Payment,884.29,USD,ATM,2023-09-08,Failed,New York,25,29517.48,0,338
TXN392164,ACC00214,Withdrawal,31147.69,GBP,Online,2023-06-29,Pending,Mumbai,72,38987.89,0,372
TXN140437,ACC00487,Transfer,36239.18,JPY,ATM,2024-04-10,Success,New York,61,186726.23,0,654
TXN820967,ACC00475,Payment,29887.17,GBP,ATM,2024-11-13,Success,London,19,68743.67,0,401
TXN349198,ACC00023,Bill Payment,22477.93,INR,Branch,2023-03-11,Success,Tokyo,35,103407.67,0,649
TXN724348,ACC00184,Payment,14018.37,JPY,Branch,2023-03-07,Success,Mumbai,52,52297.66,0,727
TXN427473,ACC00398,Transfer,21660.37,EUR,Online,2024-04-11,Success,Tokyo,23,31166.88,0,365
TXN921049,ACC00293,Loan Disbursement,16825.22,JPY,Online,2024-11-09,Pending,Toronto,37,173936.84,0,692
TXN680641,ACC00372,Loan Disbursement,26374.39,GBP,ATM,2024-03-18,Success,Mumbai,55,174311.84,0,602
TXN687951,ACC00362,Loan Disbursement,42163.62,EUR,Online,2024-02-25,Success,New York,40,118920.31,0,535
TXN523462,ACC00171,Payment,31159.72,INR,Branch,2024-09-16,Success,Toronto,30,172138.28,0,801
TXN124851,ACC00105,Payment,47004.53,USD,Online,2023-01-03,Success,London,53,130118.03,0,445
TXN538645,ACC00215,Transfer,40247.99,USD,Branch,2024-05-28,Success,Sydney,34,106447.64,0,743
TXN453238,ACC00285,Bill Payment,21648.32,INR,ATM,2024-09-24,Success,Tokyo,66,118495.42,0,795
TXN988242,ACC00314,Deposit,23046.18,JPY,Online,2024-05-13,Success,New York,42,153396.14,0,499
TXN739712,ACC00328,Bill Payment,47875.23,EUR,POS,2023-09-24,Success,London,49,76548.76,0,468
TXN363706,ACC00162,Deposit,29532.59,JPY,Mobile,2024-10-04,Success,Toronto,22,134776.15,0,480
TXN355592,ACC00155,Loan Disbursement,24838.17,INR,POS,2023-11-29,Success,Mumbai,37,192239.49,0,411
TXN117688,ACC00372,Transfer,5952.48,EUR,POS,2024-07-17,Success,London,54,45360.34,0,571
TXN816310,ACC00290,Loan Disbursement,15087.7,USD,ATM,2023-03-17,Pending,London,33,148024.39,0,397
TXN128704,ACC00432,Payment,43340.15,GBP,Branch,2024-04-21,Success,Tokyo,49,145920.17,0,570
TXN417108,ACC00139,Bill Payment,30769.8,JPY,Branch,2023-05-04,Failed,Mumbai,75,39962.23,0,620
TXN463116,ACC00396,Bill Payment,21741.31,GBP,ATM,2023-04-07,Success,London,62,51164.94,0,474
TXN636020,ACC00058,Payment,43192.1,GBP,POS,2023-04-04,Success,Sydney,48,194924.87,0,697
TXN514486,ACC00496,Payment,14632.16,EUR,ATM,2024-11-30,Success,Sydney,62,181355.12,0,506
TXN515047,ACC00453,Payment,45398.81,INR,Branch,2024-06-01,Success,Toronto,19,147347.12,0,763
TXN786687,ACC00010,Deposit,48227.18,USD,Branch,2024-08-26,Success,London,67,119683.34,0,455
TXN883059,ACC00026,Withdrawal,39783.47,EUR,Online,2023-04-19,Success,London,39,27100.36,0,822
TXN594071,ACC00381,Transfer,26604.57,EUR,ATM,2023-04-23,Success,Sydney,60,77821.28,0,321
TXN352857,ACC00389,Deposit,6783.16,EUR,POS,2024-04-01,Success,London,29,102939.29,0,425
TXN801930,ACC00055,Payment,18196.11,USD,Branch,2023-02-21,Success,Sydney,41,195509.35,0,454
TXN404821,ACC00257,Withdrawal,21695.27,USD,Branch,2023-08-02,Success,Sydney,18,44682.18,0,562
TXN285985,ACC00356,Transfer,19584.29,JPY,Mobile,2023-10-12,Success,Sydney,46,147381.03,0,526
TXN488143,ACC00106,Loan Disbursement,30072.15,GBP,Branch,2024-12-16,Success,London,70,193112.09,0,480
TXN832289,ACC00220,Loan Disbursement,41721.26,INR,Online,2024-04-26,Success,New York,24,21880.87,0,633
TXN560286,ACC00495,Loan Disbursement,25157.89,INR,Branch,2024-02-02,Success,London,21,185062.67,0,511
TXN315804,ACC00087,Withdrawal,15074.15,USD,POS,2024-11-03,Success,Tokyo,18,55422.47,0,682
TXN411151,ACC00135,Payment,40998.74,INR,Branch,2024-11-13,Success,Mumbai,50,100411.35,0,509
TXN659872,ACC00365,Deposit,27662.24,JPY,POS,2023-02-28,Success,London,33,112897.41,0,712
TXN674551,ACC00273,Loan Disbursement,37946.87,INR,ATM,2023-03-05,Success,London,50,46944.59,0,483
TXN423015,ACC00274,Deposit,18141.75,EUR,ATM,2024-11-17,Success,Tokyo,33,180137.99,0,666
TXN794010,ACC00046,Payment,16047.79,INR,Mobile,2023-04-17,Success,Tokyo,38,194118.58,0,327
TXN458531,ACC00355,Deposit,13660.75,JPY,Branch,2023-02-18,Success,Tokyo,53,199800.17,0,394
