customer_id,transaction_date,amount,transaction_type
b9aa7708,2022-05-07,6580.87,Withdrawal
f10c8b95,2020-05-09,2362.44,Withdrawal
3d5c0d17,2023-10-03,3268.0,Withdrawal
4217387f,2020-09-21,1874.68,Withdrawal
75e94ae7,2021-04-17,4768.47,Deposit
6c41fa9d,2021-08-22,3388.56,Transfer
ae3662b8,2021-07-31,3509.6,Withdrawal
5cdab749,2024-03-14,68.39,Deposit
74d479a9,2024-01-20,8312.5,Transfer
c7ea46a5,2022-09-03,2145.43,Transfer
44aca922,2023-06-15,8948.34,Withdrawal
04bf3fcb,2021-05-05,7001.63,Deposit
9dc1c2f9,2024-09-04,8575.14,Transfer
62cca98d,2020-10-08,9109.15,Deposit
f8e319d3,2024-03-15,8405.64,Transfer
9c053b59,2021-09-20,5089.13,Deposit
ee9db7cc,2023-04-09,6263.69,Transfer
99a63538,2021-03-02,4187.38,Withdrawal
54372157,2023-07-11,7103.26,Transfer
cb9b12ed,2023-12-16,5170.85,Withdrawal
12885a51,2020-10-18,1679.47,Transfer
9e636ba8,2023-08-16,1504.44,Deposit
3c0d4f4c,2021-06-22,3775.09,Transfer
ca28698b,2022-08-16,2487.19,Withdrawal
b91f09bb,2021-10-20,2700.34,Deposit
9a9b87f1,2023-10-24,3827.13,Withdrawal
02fc31ec,2024-01-04,4562.82,Deposit
0d561da6,2022-05-01,5749.87,Withdrawal
06f7b7a6,2024-08-17,9678.77,Withdrawal
1e1dd353,2021-04-26,5545.08,Withdrawal
1781f36d,2020-05-03,9804.05,Transfer
c73af30d,2024-02-29,7567.24,Transfer
c22b5b5d,2023-07-25,8231.41,Deposit
a15dd333,2022-11-07,4828.75,Transfer
ccce8f1f,2020-08-06,3011.37,Deposit
1a8a696f,2022-10-11,8154.9,Transfer
7cea0da1,2024-01-13,8121.29,Deposit
d3c9260f,2021-05-13,520.8,Withdrawal
00d0ffd0,2023-08-01,7442.56,Transfer
ed1d3074,2022-05-19,8337.27,Withdrawal
66d70249,2024-09-12,4658.71,Withdrawal
612d40f4,2023-03-07,4968.71,Withdrawal
cc61811a,2023-06-03,6005.39,Deposit
68d65ab2,2024-03-26,4778.7,Deposit
1c9959b7,2021-09-17,4858.64,Transfer
4457a4d9,2023-10-16,9551.48,Deposit
8831785c,2022-10-10,6105.98,Deposit
fc58e988,2021-09-02,5110.63,Deposit
b53a41aa,2024-11-07,413.99,Transfer
c7b42864,2020-12-31,3254.11,Withdrawal
f0988573,2023-03-06,3515.64,Withdrawal
c60b5a0e,2024-11-16,4523.63,Transfer
11a837b7,2024-09-13,6797.4,Withdrawal
6cb3e98e,2020-02-04,9589.58,Deposit
369da0e8,2022-02-15,9462.8,Transfer
2e81f5fd,2022-05-07,8800.35,Withdrawal
ff110af3,2021-05-30,8543.8,Transfer
65ca2c5b,2020-06-25,3993.22,Transfer
561f1acf,2024-09-08,4645.55,Transfer
5adfec60,2021-05-09,2119.53,Transfer
98cf58b9,2022-07-24,973.38,Withdrawal
94297e6f,2024-11-09,1330.98,Deposit
29ace006,2020-11-01,5192.87,Deposit
160f90af,2021-02-17,4460.26,Deposit
12b8c4d3,2024-01-24,9327.26,Deposit
2bb70015,2024-02-09,5793.56,Deposit
b7969433,2024-08-17,432.29,Withdrawal
c12bcfd0,2021-11-03,3842.56,Transfer
db6c1cef,2020-01-09,9747.02,Transfer
318d0de0,2024-05-25,434.64,Transfer
0a3a5af8,2023-04-08,1667.89,Deposit
af7c0c68,2020-08-02,3890.87,Deposit
f5417cc4,2020-08-17,2992.11,Withdrawal
1104e4f1,2022-09-06,2679.56,Withdrawal
b7360fd8,2023-05-21,5532.58,Withdrawal
b1c26d59,2023-08-26,2862.7,Transfer
2abc4f22,2021-09-18,5873.81,Transfer
ac09f7a4,2022-04-11,4112.89,Deposit
fbadff4f,2024-07-11,5147.83,Deposit
aed79586,2022-12-10,6011.23,Deposit
40c80667,2022-09-13,3774.55,Deposit
eae4a6d0,2020-08-12,8338.41,Withdrawal
2db3c424,2020-05-24,1547.85,Transfer
