customer_id,loan_id,loan_amount,loan_status,region
25061b25,92a91f,307881.96,Pending,East
aae625e0,ba341a,342380.53,Approved,East
87d1dbb0,4b9b86,136828.1,Approved,West
427bed5b,74181c,307247.57,Rejected,North
562a6951,a4b57f,164878.41,Approved,North
7771cb37,ba7b25,130632.68,Pending,East
9a986829,abd0bb,379454.67,Approved,North
962ea710,f77fe1,364758.89,Approved,West
a51a7f26,b88b0c,165259.37,Rejected,East
945a87d6,3d8306,242713.4,Pending,West
9005d1c4,c7732a,13020.54,Approved,East
349197de,25bf3f,331291.41,Approved,West
792d73d2,34578b,270517.9,Rejected,South
3a347ab4,3209ba,258341.19,Approved,South
1a116b14,8685f2,21639.08,Approved,South
453a360d,6901cd,276027.14,Pending,South
b28d3e45,2dbf2d,284911.05,Rejected,North
037a55ac,96d339,95815.76,Approved,North
602af74e,00869c,73705.14,Approved,North
59ab667a,cb65b4,314248.41,Rejected,East
3ba9ec7e,3aa725,191401.46,Approved,West
c5125d09,3f88d5,457792.75,Rejected,South
2953f951,bdb8ad,238674.37,Pending,East
cde86314,68bb54,255195.97,Rejected,East
08a28216,47f9f3,488499.09,Pending,North
e27b20bf,b09d46,375635.57,Pending,West
4103e642,646902,387905.41,Approved,South
16393255,6c36ac,25063.09,Rejected,North
af51e58b,63af31,154841.51,Rejected,North
2f82d7b5,3d0d3e,173759.03,Approved,East
2f516b05,2dbb5f,335578.42,Pending,East
b29cdca8,992375,160381.24,Pending,South
c6a74710,9e6a01,334004.67,Approved,West
2e0e51f6,9d0a7c,358821.75,Approved,West
e04b2306,eebb2f,135056.42,Approved,North
41421677,fe48ee,381039.37,Pending,West
649c3e42,e9bd0b,272580.44,Rejected,East
690db470,e23e4d,244726.41,Rejected,North
7db84ad7,a5ad61,18305.12,Rejected,North
d9c56c92,02df92,240685.57,Pending,South
aac6d6f5,a1e974,428776.04,Approved,East
95511391,624e39,112801.9,Pending,South
e7db4a86,4ac9b4,498434.72,Pending,East
fd8213cc,a91903,152144.16,Rejected,West
f9457ea4,136010,491301.97,Pending,South
f3045a09,0bc9c8,213869.84,Approved,North
ad675552,f42aa8,345724.09,Rejected,West
40800bb4,6aef8f,45544.4,Rejected,South
59725fde,f6c1fa,153810.23,Approved,East
32ac396b,cece3c,437156.94,Pending,West
27e58145,294670,105856.37,Rejected,East
947ccf9b,62b03b,22031.79,Approved,North
f92eb530,52cf9d,467555.18,Approved,West
7a1fd327,e6444e,390408.61,Pending,West
593b31e3,6d3fd2,373731.79,Approved,North
008d420a,24c34e,35862.01,Pending,South
e7522ba2,7dc889,224420.3,Rejected,East
e3e2bc04,e16309,207001.29,Approved,East
8c3c07f9,b8e854,425618.62,Approved,North
3d1fabe4,bba54e,181909.18,Pending,South
89abbbbe,701b4e,280451.03,Pending,North
14d60ab0,6e02f5,328491.81,Approved,North
8bfaa7fa,7c1d80,313528.48,Approved,South
fe028bd6,77f3da,414633.33,Rejected,West
7214c2c4,6ba59a,257611.2,Approved,South
7aab19bf,aedf0e,360080.0,Approved,South
bff36ca1,2da776,229649.42,Rejected,South
a6d029c8,75960b,241598.34,Rejected,North
cabec3a6,21f1ae,433597.14,Pending,North
1dd29c53,a07060,280706.48,Pending,East
349197de,c715f4,467128.29,Rejected,East
674fa980,591d24,472965.64,Pending,North
9cd98cea,e3f1de,106310.77,Rejected,West
ca75afa1,ae6fcf,75017.95,Approved,East
a1fc0558,3d8b46,20192.47,Approved,West
2570e84a,9ae87e,497132.1,Pending,West
517d9e3d,0acae2,411830.56,Approved,North
85b36abd,30aaf1,498261.54,Approved,North
e4000267,fafc32,414989.45,Pending,West
0b49bcc2,4caa83,71462.1,Approved,West
a259625a,14546e,328701.8,Rejected,East
db31ff44,17703f,279955.97,Rejected,West
b444a3e8,721d7d,449719.72,Approved,West
50a2c4d8,0b754c,446416.36,Pending,West
422554ed,b5fee4,60275.71,Pending,South
f2234b28,556424,375103.24,Rejected,West
15023260,e5d50b,366763.79,Pending,South
e84b4321,5f0825,445706.83,Approved,West
ab838c25,76cf29,200665.17,Rejected,South
47cc39a7,0aebe9,483603.8,Rejected,East
9bb8344b,d7409c,353067.93,Rejected,East
2ed098f2,02048c,195726.61,Pending,West
9591cd92,9d4c05,433257.9,Rejected,South
e63c0569,efe28e,431636.81,Approved,South
905f8506,232e85,178273.06,Approved,North
95aa7633,2da980,108227.62,Rejected,North
45bc21d5,882a0a,483285.78,Pending,East
83067b8c,7f0b76,61529.58,Approved,South
3ae546d3,61a421,255327.86,Approved,South
7e495c79,42ea3b,146250.62,Rejected,East
c045132e,36c63a,23003.43,Pending,South
4e8fc701,1c5b3a,345557.97,Rejected,East
76b5cc3a,3e0afc,372782.18,Pending,North
53198aa7,9fdaa8,178193.68,Pending,North
3a347ab4,3be6c2,342415.0,Approved,South
4013b062,a78733,121997.89,Approved,East
5223147b,150462,377332.36,Rejected,West
0781aac6,30d048,390438.4,Approved,South
f1c6cf4f,889e7b,147478.26,Approved,North
b53957c8,125282,31001.17,Pending,West
d5f77e56,0e7c13,58745.15,Rejected,North
e54657a9,dc3160,211339.29,Approved,East
bbe47db4,ffe6d7,487045.04,Pending,South
5aaba2a5,3cad9b,117505.76,Approved,West
b53e1c9d,e6c2a3,170821.9,Pending,West
c70a4d35,fcb6e1,265446.65,Approved,East
ccfd003c,43e2f5,249280.8,Rejected,North
17de92b8,a4b09d,159697.77,Approved,West
83eaf462,59597b,402778.13,Rejected,North
19bd7280,3f2108,450804.24,Pending,West
f53898da,a11e62,307872.0,Pending,East
f1a7346a,57ebf3,52499.89,Pending,West
7a68520a,bee81b,313738.6,Rejected,East
fa0a54ae,84c66d,124625.54,Rejected,North
ad35e8fb,957462,93767.38,Pending,South
d6fd0099,18135f,452140.3,Approved,West
6e22eadf,19845c,55116.79,Approved,South
6bd70bab,f0a64b,177245.71,Approved,North
f2b103c6,ee546a,105170.16,Pending,South
fc9ebe10,1d7d08,351229.31,Rejected,East
6303e29b,6738ae,475107.11,Rejected,South
5f4bb5bf,de90e7,37074.61,Pending,West
27831569,b18781,320127.3,Rejected,East
970dd2f7,7f366a,365405.7,Rejected,North
fe36bbda,844cb1,173205.82,Approved,North
6c452bd3,465c96,363045.71,Pending,West
b6e492c7,94078a,357505.03,Pending,South
f2d4cec6,7ec2fd,81374.32,Rejected,East
33295a44,50cade,132092.53,Approved,East
e6ea8a6a,fe6dd2,475343.65,Pending,West
d1c938f3,cd45e7,52110.63,Approved,North
e5880646,c6b6be,373306.0,Approved,South
d92ba095,c95486,432570.85,Pending,South
2796247e,bf78dc,236758.2,Rejected,South
b4335cf8,263d69,295706.1,Pending,North
823b8989,be840c,120759.79,Pending,East
0e605a73,83618d,96352.23,Pending,West
ae46bce8,99782a,402338.07,Rejected,North
9308d236,1ff242,375487.4,Approved,West
b7d09e24,2ec5b8,281088.15,Pending,West
28d8d6d3,f67eec,402821.24,Approved,South
4f3f5e03,153b6d,484693.45,Approved,North
426ed5f5,27293a,417220.61,Approved,West
9ac1afb7,2ac9ad,78530.36,Pending,East
42542a45,37cb1c,243750.15,Pending,East
59159bab,ab3920,20742.96,Approved,East
718800de,a6c1d4,285095.96,Approved,South
33d0f222,e0e25d,421268.16,Rejected,West
8ff12f0d,26b36c,427425.36,Rejected,West
1b6f66c7,00c1cc,311608.35,Pending,North
04c91251,2303b0,13984.17,Rejected,North
d3572424,a96538,162221.24,Approved,North
070ecc83,32d4ea,208826.8,Pending,West
bd1afb00,d8ee76,305121.66,Pending,North
1341796c,dd5a41,154659.88,Rejected,South
b5ddc604,828703,82971.1,Rejected,West
8fd3b574,9ddb41,303077.57,Approved,North
2e0e51f6,880cab,481207.21,Pending,West
b18b1d44,1228e7,453256.89,Pending,North
1903a624,529a3d,454949.45,Pending,North
4cb985db,accd86,57492.03,Approved,South
677745be,5c7707,418938.81,Approved,West
8e63afa5,97edbd,120553.71,Pending,West
be8a0a25,b884d6,475243.18,Approved,East
d52628e4,481e80,323468.22,Rejected,East
3bae3d1d,d73094,326424.76,Pending,East
08894074,3788e3,151968.72,Approved,East
1825286e,4da220,124520.28,Rejected,North
d5c63d22,417982,51272.11,Rejected,South
760b838a,69e37a,167990.16,Pending,South
897a12fb,d95bf9,328228.58,Rejected,South
77f165c8,9b8b66,220969.71,Pending,West
6db57fac,dab91d,18159.29,Approved,East
bd6a9771,aa83ec,31931.89,Rejected,West
386da008,becf1f,227774.06,Rejected,North
46280235,3e3e34,432359.57,Rejected,North
5c689116,31e7c9,268436.21,Rejected,West
af54b949,12208d,394175.03,Rejected,East
39b53ec1,03b910,29583.23,Rejected,West
3975e9d1,f66653,376660.17,Pending,East
27e3258f,eb17f7,273402.72,Pending,North
a27087b6,8a91c3,397465.7,Pending,North
437f87e8,18570c,275904.41,Rejected,East
fac52ff6,28e5a9,64874.89,Rejected,East
1eed89e1,77b616,485394.22,Rejected,South
d1736b32,7a0c8c,184717.2,Pending,North
b2d28ab7,4c3860,57410.8,Approved,South
f2db8ba4,3e1fba,230961.35,Pending,North
e7430a4b,fe4130,396075.18,Approved,East
58d668e2,b695bc,40435.47,Approved,South
545716bf,25fb6d,446648.72,Approved,North
b8ed8c9e,68a2b5,249699.27,Approved,East
6bbd9cb4,1d0787,15650.3,Approved,North
7986e1ce,368a1b,155563.58,Pending,South
8c16fcae,62ef1d,437850.12,Rejected,West
4d5bd58f,92a091,442873.15,Pending,South
5566640c,e9209c,260757.01,Pending,South
65a3e7f5,75e7e1,107823.04,Approved,South
bf7576b2,a8a31b,165479.27,Pending,West
0fcfae6e,c7ea79,41505.83,Approved,South
76ab78f9,ecc9a5,388995.65,Rejected,North
e8ebf01c,1546fe,405114.83,Approved,East
b53e1c9d,a41e2d,364742.31,Pending,West
1093af98,2dfc74,477461.56,Pending,West
0bdda55b,ff5cc7,164442.95,Rejected,South
4a88f3d8,002c7b,283741.47,Pending,North
21f076fe,8df4bb,159384.56,Rejected,East
a38dc73d,ec56eb,237914.64,Rejected,North
b76efdd7,8c33b7,5072.41,Approved,North
83dc28c4,fd2f1b,346336.18,Pending,South
5b8231fc,05ddbe,373643.34,Approved,East
8b511607,0bff36,56346.04,Pending,North
af313929,f772f3,46195.02,Rejected,East
46584b24,004c1d,268101.21,Approved,South
7c4e9fc6,25b2a4,478973.35,Rejected,West
c3e91992,7e1eff,214064.93,Pending,West
d9a7bac9,cfa65f,295008.38,Pending,West
2d0f7440,849b55,259206.39,Approved,East
702245d8,416497,105085.0,Rejected,East
2a4cdf68,7f1727,449791.26,Rejected,West
37557be2,d6eef4,184794.63,Pending,North
81f19beb,e1df90,78784.15,Approved,North
6880ae1e,730f21,60433.64,Rejected,West
a5416d66,a56cc2,7760.84,Approved,South
55f1c992,eb14e6,391279.73,Approved,West
fb1be5b9,cceb4f,221936.61,Approved,South
451ad80f,d4d443,464943.43,Rejected,West
fa0375b4,a917fc,83631.43,Rejected,West
0db0ba4a,2c2258,158708.8,Approved,East
d9dd936d,a9833d,170195.08,Pending,East
2b64e69f,95df1b,41923.93,Approved,South
a183bf27,390583,385628.49,Approved,East
