customer_id,transaction_date,amount,transaction_type,region
336c4fc1,2024-11-15,6704.99,Transfer,South
2a4fa2c2,2025-02-09,137.16,Deposit,West
20e3d991,2024-10-02,5909.74,Withdrawal,North
b863cbc0,2024-11-08,9958.62,Withdrawal,South
5ff32782,2024-12-03,3616.07,Withdrawal,South
b3ed2d66,2025-01-18,1870.22,Transfer,South
f231ff02,2024-10-19,8271.49,Transfer,North
978186b9,2024-09-08,1641.63,Transfer,North
36511e04,2024-05-24,2452.93,Transfer,East
9a845620,2024-04-19,9878.48,Transfer,East
8a8db0d8,2024-03-27,6813.46,Transfer,North
08681a8c,2024-03-17,977.46,Withdrawal,South
5bcf8751,2024-11-18,1089.15,Transfer,North
3fbf54b4,2024-11-05,1406.25,Deposit,East
aacc7bf7,2024-06-14,9442.98,Deposit,East
71285329,2024-10-01,6105.88,Deposit,West
fd6ede69,2024-05-31,7509.28,Withdrawal,West
3576f361,2024-06-06,2158.05,Deposit,North
ceab8bfd,2024-12-04,6033.0,Withdrawal,East
9f4102ea,2024-12-05,8576.11,Deposit,South
6a92b1ba,2024-10-10,8435.39,Withdrawal,South
1ad176ca,2024-10-20,5796.78,Withdrawal,East
cd2aeaf3,2024-12-13,4497.98,Withdrawal,East
951d37cc,2024-08-07,6375.88,Transfer,West
d88903db,2024-08-10,3018.03,Deposit,West
a2420b93,2024-05-15,4999.92,Transfer,East
ddf4244f,2024-10-22,6962.75,Withdrawal,South
a3ff9552,2024-02-28,3209.63,Withdrawal,West
d845149e,2024-03-30,7961.03,Transfer,South
4e0d73f5,2024-09-27,6144.26,Transfer,North
d7235036,2024-02-25,6521.59,Deposit,South
a270d028,2025-01-24,914.07,Withdrawal,West
8efa22fe,2024-09-26,1766.4,Deposit,South
ef88abe7,2024-07-12,8985.82,Withdrawal,South
91e30e17,2024-03-18,9148.24,Deposit,South
ed51543b,2025-01-15,2460.8,Deposit,South
68ed85aa,2024-06-23,7325.86,Withdrawal,East
a1c25592,2024-06-22,2474.21,Withdrawal,East
246ef9b9,2025-01-31,6152.92,Deposit,East
6762b066,2024-03-06,9099.04,Deposit,North
adcf54f0,2024-12-24,1509.57,Transfer,South
68d9d66b,2024-08-27,5906.5,Deposit,North
68717fdd,2024-10-24,3796.47,Transfer,North
4a09ecbe,2024-05-25,7281.66,Deposit,West
8e7df891,2024-05-28,6975.53,Withdrawal,North
33f79073,2025-01-17,5346.15,Transfer,East
20dcb24d,2024-03-17,4232.37,Withdrawal,East
dd36dd20,2024-10-20,9547.64,Deposit,South
80251302,2024-07-30,2186.27,Withdrawal,North
cf7202bd,2024-03-29,987.85,Transfer,West
d2f88c37,2024-11-04,1899.21,Transfer,North
4b7482b6,2024-06-27,6043.57,Withdrawal,East
0e6cfd0d,2024-03-08,9771.17,Withdrawal,North
baf9a822,2024-12-01,2515.85,Deposit,East
41550d0a,2024-10-23,128.29,Withdrawal,North
1f482b34,2024-10-09,4254.22,Deposit,North
7fe1f587,2024-03-01,8664.94,Withdrawal,West
73b75ecd,2024-11-06,8067.06,Transfer,North
6e5230b3,2025-01-01,6069.14,Transfer,East
1803bef6,2024-08-18,9383.98,Transfer,North
2aafa8bd,2024-08-24,1851.82,Transfer,West
59c016e4,2024-11-11,6879.82,Transfer,North
30e2be3e,2024-03-22,8998.33,Withdrawal,West
de06ef98,2024-11-01,297.1,Withdrawal,West
436eff2a,2024-03-13,9325.48,Transfer,West
466ccfb5,2024-11-19,1251.44,Transfer,West
6ec2dafb,2024-11-23,5966.16,Transfer,South
186897c2,2024-03-22,3012.08,Transfer,West
85e5443c,2024-03-26,6421.48,Transfer,South
e05dd74b,2024-12-13,436.96,Withdrawal,East
65f761f6,2024-09-02,3994.75,Transfer,North
72a5b729,2024-07-30,2800.03,Deposit,North
82992ee8,2024-06-14,4434.93,Withdrawal,West
545716bf,2024-11-10,7538.62,Withdrawal,West
c4e76342,2024-04-27,7383.49,Transfer,South
50a55d8e,2024-10-27,2888.25,Withdrawal,South
f249f50a,2024-09-17,4005.13,Deposit,South
49337120,2024-10-26,1651.13,Withdrawal,West
8504f00b,2024-11-21,812.84,Transfer,North
9d828017,2024-09-05,7620.57,Transfer,North
8683ae96,2024-08-23,8299.96,Deposit,East
2a3e9cd7,2024-05-05,3246.83,Transfer,South
13afebb4,2024-04-28,5757.82,Transfer,East
d3b37a90,2024-05-09,5854.42,Deposit,West
12921f56,2024-03-24,851.28,Deposit,South
b4499635,2024-05-08,1056.47,Transfer,North
b7d09e24,2024-06-05,7699.02,Deposit,West
7e5aea0c,2024-07-19,2265.6,Transfer,East
630eb953,2025-02-05,325.59,Transfer,West
4603b8b5,2024-07-03,5348.35,Deposit,East
b4145520,2024-11-12,6759.78,Transfer,East
065da228,2025-02-09,3455.42,Deposit,West
f8add676,2024-11-09,2960.14,Deposit,East
01f6df27,2024-05-04,6777.64,Transfer,East
7e6702ad,2024-04-07,9947.37,Withdrawal,West
ee2676f6,2024-03-01,1625.72,Withdrawal,West
e84a41a7,2024-08-14,5465.87,Deposit,South
cab34276,2024-09-30,9847.86,Deposit,West
f9ff100e,2025-02-09,5211.14,Transfer,West
027a84b4,2025-01-11,7149.0,Withdrawal,West
5dda3ae7,2024-09-02,2901.12,Deposit,East
59bc9712,2024-12-16,1342.39,Deposit,East
7194ada9,2024-10-17,7204.99,Transfer,West
1c884a22,2024-07-19,1040.51,Withdrawal,North
4bfc4dc0,2024-06-13,2000.52,Withdrawal,West
d2703813,2024-03-13,3496.52,Withdrawal,West
279bc571,2024-09-19,5193.71,Withdrawal,East
eccf4621,2024-09-05,9060.79,Deposit,North
8e8145eb,2024-11-06,1720.87,Transfer,South
99bbbb5c,2024-09-24,7868.66,Transfer,North
18e6fc8d,2024-06-22,7120.42,Deposit,West
c23fd838,2024-08-12,3938.79,Transfer,West
f851e90d,2024-04-20,4115.33,Withdrawal,North
6668118b,2024-11-06,9057.22,Withdrawal,West
eeb8b1d6,2024-02-12,3309.93,Deposit,North
533a14df,2025-01-12,2785.67,Withdrawal,South
634081aa,2024-08-01,5413.18,Transfer,North
f444685d,2024-04-04,9149.72,Withdrawal,North
094d4a56,2024-12-06,7869.32,Transfer,West
626a8c13,2024-10-23,5534.39,Withdrawal,South
0003cdec,2024-05-22,4667.74,Deposit,North
113aee93,2025-01-04,3611.06,Transfer,East
793a3a83,2024-03-16,656.99,Transfer,South
4c7f4b4e,2024-05-15,1113.29,Withdrawal,South
732e8756,2024-02-19,1856.76,Transfer,West
3b02e816,2024-08-03,9996.05,Deposit,North
cc04419d,2024-07-12,2658.66,Withdrawal,East
44e6e0ec,2025-01-10,646.23,Transfer,West
83a8cc42,2024-03-21,3935.22,Withdrawal,North
75ce48f6,2025-01-01,6746.85,Withdrawal,West
0292124c,2024-12-30,8823.98,Transfer,North
56129363,2024-10-12,151.9,Withdrawal,East
f1d7acb1,2024-07-27,5527.9,Transfer,East
b0e41628,2024-09-17,3962.85,Withdrawal,North
477e8821,2025-01-13,1029.62,Deposit,West
ef6e3518,2024-07-04,9216.85,Deposit,North
68a49703,2024-03-21,7949.49,Transfer,North
b5396576,2024-04-12,2494.33,Deposit,North
f0d85d4a,2024-11-21,912.17,Deposit,East
7a527dc5,2024-11-25,1822.92,Deposit,North
3aed04ce,2024-07-19,4188.97,Deposit,West
614c6bda,2024-12-15,1391.03,Deposit,West
be269bf4,2024-12-17,4879.22,Transfer,North
d02eac3f,2024-04-04,834.18,Deposit,South
c89fe066,2024-04-20,6121.54,Withdrawal,South
2f82d7b5,2024-12-27,5944.3,Deposit,West
03d0286f,2024-12-11,818.15,Transfer,South
119d8516,2024-10-01,6846.73,Transfer,West
ad07f3b6,2024-08-13,709.75,Withdrawal,North
fbfd38a1,2024-11-19,6871.98,Transfer,North
4b6415bf,2024-04-26,3539.96,Transfer,South
bb62fdc0,2024-03-19,5560.83,Withdrawal,East
ff9db36d,2025-01-30,3260.0,Deposit,South
c46e7d64,2024-08-20,5325.79,Transfer,South
2ac806aa,2024-11-26,8399.71,Deposit,East
0f103bbd,2024-03-14,8814.38,Deposit,East
d9d341ca,2024-06-28,4068.78,Deposit,West
e14a4f41,2024-09-04,3049.03,Transfer,North
47d2cb1e,2024-04-28,9993.17,Deposit,West
4e239b05,2024-06-30,3643.7,Withdrawal,West
964a22c9,2024-10-14,291.41,Withdrawal,East
9e5eff73,2024-06-15,4157.54,Transfer,North
80251302,2024-09-17,1755.84,Transfer,North
22803607,2025-01-07,3404.24,Deposit,West
5e26909b,2024-12-17,2841.73,Transfer,North
01da47be,2025-02-07,9634.77,Transfer,South
85facad2,2024-06-27,6000.49,Transfer,East
31d5badd,2024-03-23,5135.34,Transfer,East
e7430a4b,2024-08-11,3836.76,Transfer,West
b9795679,2024-11-03,1508.55,Deposit,East
30aa271c,2024-05-01,8831.26,Withdrawal,East
5b64de3f,2024-09-13,1251.33,Withdrawal,North
5d4d54d7,2024-03-11,4280.63,Withdrawal,North
5bb3e667,2024-08-24,511.24,Deposit,East
380a965f,2024-07-14,6537.17,Withdrawal,South
84767b8e,2024-09-22,2919.07,Deposit,East
5dda3ae7,2024-05-20,1968.91,Transfer,North
149103dc,2024-11-03,2822.0,Withdrawal,South
84aa2d47,2024-02-19,5101.51,Deposit,North
a0622e9f,2024-03-19,3078.51,Deposit,North
5dc4db9d,2025-01-03,9490.35,Withdrawal,North
6deae2b5,2024-04-29,4963.17,Deposit,West
25e277b3,2024-07-04,4342.6,Deposit,North
1547f587,2024-07-19,3743.49,Transfer,North
a7288a1b,2024-04-05,5486.64,Transfer,North
48f84eeb,2024-12-14,6762.9,Withdrawal,West
233bce92,2025-02-05,3640.53,Deposit,West
0136b1d8,2024-09-12,2200.63,Withdrawal,South
6ba57af2,2024-09-16,1444.26,Deposit,East
7444fc2e,2024-03-10,1859.43,Deposit,South
d3498c11,2024-11-19,4626.28,Deposit,West
cc61a092,2025-02-01,8406.47,Deposit,North
2f59ae87,2024-10-01,4012.07,Transfer,South
2179d6ad,2024-07-31,8265.05,Deposit,North
5f366ea1,2024-07-16,2129.56,Transfer,North
c0a73077,2024-04-06,7004.87,Transfer,West
3c5eb519,2024-04-01,2788.61,Transfer,East
0437406e,2024-02-16,5715.38,Transfer,West
3e9fde85,2024-02-26,9711.29,Withdrawal,South
24402efe,2024-06-15,7368.34,Withdrawal,South
8a5fffb7,2024-08-29,2921.18,Deposit,North
9711fff6,2025-01-03,8286.27,Withdrawal,North
e3b4d5c5,2024-10-27,7460.31,Deposit,North
e57fb991,2025-02-04,9052.1,Withdrawal,North
e4fcb1b6,2025-02-05,5567.59,Withdrawal,East
18ee9d1b,2024-08-03,595.04,Transfer,West
6a1a5d72,2024-12-11,5910.39,Transfer,North
02b19744,2024-04-29,4193.39,Withdrawal,North
503067de,2024-04-05,6137.67,Withdrawal,North
678b5f5e,2024-03-10,121.18,Transfer,South
52bd3192,2024-09-09,1784.73,Transfer,West
4eb8f8a3,2024-06-19,1217.13,Deposit,West
09d097f0,2025-02-08,2829.11,Deposit,South
58c8401e,2024-10-30,9969.95,Transfer,South
fe23620b,2024-07-28,4487.31,Deposit,West
d903e6be,2024-03-08,2940.85,Transfer,South
4bf9846d,2024-11-26,5273.32,Withdrawal,West
e2bc4d84,2024-09-29,6323.37,Deposit,South
02f34ff6,2024-02-24,9048.73,Transfer,South
cc20683c,2024-10-05,1669.89,Transfer,South
65a579b6,2024-11-08,1330.64,Transfer,North
d00f0fe0,2024-08-22,4355.38,Deposit,East
6735cb96,2024-06-28,2083.92,Withdrawal,South
d315316b,2024-10-31,146.67,Transfer,South
e9f58e8b,2024-07-14,5733.14,Withdrawal,West
ac0b1542,2024-10-04,8908.29,Transfer,North
3ad97979,2025-01-02,3292.07,Withdrawal,East
7e8da461,2024-12-06,2055.62,Transfer,East
129e9dfa,2024-10-05,7675.5,Transfer,West
6637d689,2024-07-28,1171.77,Transfer,North
0595913c,2024-08-29,4430.66,Withdrawal,North
c3610ddc,2024-11-07,8005.03,Transfer,North
dcfb86ed,2024-09-15,5067.55,Withdrawal,South
4b8197f8,2024-06-01,8465.25,Withdrawal,South
4931e109,2024-09-15,6272.72,Transfer,West
21ac9fdc,2024-12-14,5035.99,Deposit,North
1c27222d,2024-09-22,4046.26,Transfer,West
9f60460e,2024-09-24,4545.52,Transfer,South
42487116,2024-10-29,7795.85,Withdrawal,North
4df6e5b3,2024-06-18,6237.79,Withdrawal,West
e7eed866,2025-02-04,7985.29,Transfer,East
5734772f,2024-06-07,8797.17,Deposit,South
907f50ff,2024-06-28,9619.41,Withdrawal,East
112ebdd3,2024-12-08,2627.57,Withdrawal,North
25a85ecc,2024-05-15,5011.27,Withdrawal,North
a833ac92,2024-11-01,2471.38,Transfer,North
bbfe8d35,2024-08-05,3270.74,Withdrawal,North
10873461,2024-04-19,721.6,Transfer,South
8da2dad5,2024-08-09,3978.42,Deposit,West
bf122e62,2024-07-17,3564.61,Withdrawal,South
4aff3e6e,2024-08-02,3471.41,Withdrawal,West
501e94eb,2024-11-06,930.88,Deposit,West
b5306bc2,2025-01-06,4917.65,Withdrawal,East
9b722f4b,2025-01-25,4007.06,Transfer,North
210cba9b,2024-12-09,3056.54,Withdrawal,East
7aa3f231,2024-09-05,9661.65,Transfer,East
6a02ab6b,2025-01-05,6726.51,Transfer,West
e59225e2,2024-04-22,9272.35,Withdrawal,North
9867a856,2025-01-14,287.14,Deposit,South
2b2f6672,2024-05-07,2073.94,Deposit,West
2b5590a9,2025-01-05,2779.91,Deposit,East
e2dff382,2024-12-11,4334.37,Withdrawal,East
5bcf8751,2024-05-16,2355.21,Transfer,North
78926704,2024-06-25,6648.91,Withdrawal,West
5e309dbe,2024-10-21,5260.48,Transfer,South
87fa0316,2024-06-20,8162.42,Transfer,South
4b5e660f,2024-11-11,8794.37,Transfer,East
fdde4c7f,2025-01-24,3256.33,Withdrawal,South
7c5a2b26,2024-10-19,561.32,Withdrawal,South
58ce76f6,2024-10-22,1710.64,Withdrawal,East
806a0549,2024-07-09,6362.61,Transfer,East
dba432e4,2024-06-01,1510.49,Deposit,West
f1ce1794,2024-09-26,5833.8,Transfer,North
f8604e55,2024-07-06,3419.85,Deposit,South
8044e65a,2024-11-22,3987.94,Transfer,South
a5ac60e9,2024-08-04,3792.01,Deposit,North
fbfd38a1,2024-04-04,9872.82,Transfer,North
71a47768,2025-01-25,8923.24,Deposit,East
8bfaa7fa,2025-01-01,8122.53,Withdrawal,East
1ad64cd0,2024-11-11,7873.97,Withdrawal,East
286b6f5f,2024-08-15,6940.08,Deposit,North
2df0f120,2024-09-22,9845.48,Transfer,East
e68dcc7d,2024-07-15,5764.73,Transfer,North
63e3d6d0,2024-07-15,9692.46,Deposit,North
