TransactionID,CustomerID,TransactionDate,TransactionType,Amount,Status
1,600,2024-10-06 01:46:27,Transfer,8551.22,Pending
2,579,2024-08-09 01:46:27,Transfer,9918.07,Pending
3,774,2024-10-31 01:46:27,Payment,5525.53,Failed
4,495,2024-11-13 01:46:27,Transfer,5595.35,Pending
5,260,2024-09-08 01:46:27,Transfer,7744.2,Pending
6,754,2024-12-04 01:46:27,Deposit,7480.66,Pending
7,802,2024-02-20 01:46:27,Withdrawal,1011.78,Failed
8,411,2024-08-23 01:46:27,Deposit,1615.77,Failed
9,6,2024-12-28 01:46:27,Withdrawal,4721.97,Failed
10,446,2024-12-29 01:46:27,Deposit,2638.29,Pending
11,82,2024-04-07 01:46:27,Deposit,7247.7,Pending
12,629,2024-03-14 01:46:27,Transfer,7118.94,Failed
13,59,2024-11-15 01:46:27,Payment,4395.33,Success
14,871,2024-03-13 01:46:27,Transfer,1955.52,Failed
15,523,2024-05-24 01:46:27,Withdrawal,6155.75,Failed
16,37,2024-08-12 01:46:27,Withdrawal,6553.64,Success
17,89,2024-09-24 01:46:27,Payment,3537.75,Pending
18,416,2024-04-18 01:46:27,Withdrawal,5182.25,Failed
19,721,2025-01-08 01:46:27,Deposit,5500.43,Failed
20,850,2024-05-02 01:46:27,Transfer,3481.28,Pending
21,232,2024-04-08 01:46:27,Withdrawal,4553.04,Pending
22,589,2025-02-10 01:46:27,Transfer,1758.6,Failed
23,110,2024-05-02 01:46:27,Deposit,5036.66,Pending
24,970,2024-12-15 01:46:27,Transfer,8762.37,Failed
25,257,2024-02-23 01:46:27,Payment,9660.89,Failed
26,496,2024-10-11 01:46:27,Transfer,9612.77,Pending
27,698,2024-06-22 01:46:27,Deposit,4824.88,Pending
28,70,2024-08-01 01:46:27,Withdrawal,6772.36,Success
29,820,2024-09-04 01:46:27,Payment,9554.9,Failed
30,549,2025-02-08 01:46:27,Transfer,2490.09,Success
31,409,2024-03-05 01:46:27,Transfer,769.53,Success
32,488,2024-09-05 01:46:27,Transfer,2193.48,Failed
33,276,2024-11-11 01:46:27,Withdrawal,4995.0,Success
34,241,2024-10-12 01:46:27,Transfer,2075.72,Success
35,855,2024-10-08 01:46:27,Transfer,1568.4,Success
36,123,2025-01-03 01:46:27,Payment,6142.13,Failed
37,981,2025-01-22 01:46:27,Payment,3718.25,Pending
38,505,2024-04-24 01:46:27,Transfer,4913.15,Failed
39,287,2024-07-24 01:46:27,Withdrawal,7504.19,Success
40,56,2024-05-19 01:46:27,Payment,4788.42,Failed
41,34,2024-05-31 01:46:27,Transfer,3943.23,Failed
42,795,2024-11-15 01:46:27,Payment,9765.31,Failed
43,531,2024-06-22 01:46:27,Transfer,6895.21,Success
44,691,2024-10-28 01:46:27,Payment,5814.27,Pending
45,371,2024-04-05 01:46:27,Transfer,1879.65,Pending
46,243,2024-09-28 01:46:27,Payment,9585.68,Pending
47,375,2024-11-10 01:46:27,Payment,4245.19,Pending
48,718,2024-08-06 01:46:27,Transfer,8544.72,Pending
49,462,2024-11-12 01:46:27,Withdrawal,9792.93,Failed
50,235,2024-12-23 01:46:27,Transfer,8042.83,Failed
51,443,2024-08-01 01:46:27,Withdrawal,1466.98,Failed
52,154,2024-06-15 01:46:27,Deposit,1774.31,Pending
53,138,2024-03-27 01:46:27,Transfer,7855.48,Pending
54,257,2024-05-01 01:46:27,Deposit,3990.03,Failed
55,168,2025-01-13 01:46:27,Withdrawal,8140.04,Pending
56,860,2024-03-27 01:46:27,Deposit,4504.05,Pending
57,267,2024-08-12 01:46:27,Transfer,5607.9,Pending
58,353,2025-02-02 01:46:27,Payment,1221.16,Failed
59,987,2024-04-08 01:46:27,Withdrawal,5772.77,Failed
60,665,2024-05-13 01:46:27,Withdrawal,9793.94,Pending
61,364,2024-08-30 01:46:27,Payment,7749.7,Pending
62,911,2025-01-03 01:46:27,Payment,6140.5,Pending
63,647,2024-11-30 01:46:27,Withdrawal,6409.4,Pending
64,432,2024-03-26 01:46:27,Payment,8490.52,Success
65,82,2024-11-22 01:46:27,Transfer,2289.9,Pending
66,669,2024-09-16 01:46:27,Transfer,6057.8,Pending
67,278,2024-06-30 01:46:27,Transfer,7481.48,Failed
68,989,2024-06-27 01:46:27,Payment,1681.51,Success
69,129,2024-10-15 01:46:27,Transfer,9404.97,Failed
70,768,2025-01-03 01:46:27,Withdrawal,1677.44,Success
71,98,2025-01-11 01:46:27,Payment,5488.85,Success
72,790,2024-07-24 01:46:27,Deposit,1048.24,Failed
73,160,2024-12-31 01:46:27,Payment,3100.61,Success
74,756,2024-09-20 01:46:27,Payment,6268.54,Success
75,540,2024-11-17 01:46:27,Deposit,361.2,Pending
76,882,2024-08-30 01:46:27,Payment,4677.26,Failed
77,958,2024-09-26 01:46:27,Payment,1359.8,Failed
78,553,2024-11-14 01:46:27,Payment,6314.16,Failed
79,899,2024-04-30 01:46:27,Payment,5239.36,Failed
80,547,2024-09-07 01:46:27,Transfer,4821.7,Success
81,825,2024-12-29 01:46:27,Payment,3085.6,Pending
82,267,2024-11-25 01:46:27,Transfer,115.45,Failed
83,835,2024-12-05 01:46:27,Transfer,2874.75,Failed
84,9,2024-02-26 01:46:27,Payment,9470.11,Pending
85,307,2025-02-08 01:46:27,Payment,7981.67,Failed
86,237,2025-02-09 01:46:27,Transfer,1893.82,Failed
87,448,2024-07-25 01:46:27,Withdrawal,1641.06,Failed
88,662,2024-07-28 01:46:27,Payment,2213.72,Success
89,433,2024-03-29 01:46:27,Withdrawal,5170.93,Failed
90,827,2024-02-23 01:46:27,Transfer,2853.92,Failed
91,545,2024-09-28 01:46:27,Payment,1888.13,Success
92,187,2024-12-05 01:46:27,Transfer,1112.46,Pending
93,633,2024-06-26 01:46:27,Transfer,7007.72,Pending
94,193,2024-09-01 01:46:27,Deposit,1529.97,Failed
95,23,2024-11-09 01:46:27,Deposit,2828.32,Success
96,733,2024-07-03 01:46:27,Deposit,2335.78,Success
97,16,2024-06-05 01:46:27,Withdrawal,3425.71,Pending
98,805,2024-06-02 01:46:27,Transfer,4642.21,Success
99,339,2025-01-02 01:46:27,Withdrawal,569.82,Pending
100,74,2024-05-10 01:46:27,Payment,1824.22,Pending
101,837,2024-08-01 01:46:27,Deposit,1228.4,Failed
102,255,2024-07-30 01:46:27,Payment,2479.15,Success
103,204,2024-06-22 01:46:27,Deposit,5216.18,Success
104,485,2024-07-28 01:46:27,Transfer,9362.79,Success
105,645,2025-01-22 01:46:27,Deposit,2540.59,Failed
106,306,2024-11-03 01:46:27,Transfer,8876.32,Failed
107,224,2024-12-17 01:46:27,Withdrawal,6332.76,Pending
108,16,2024-11-19 01:46:27,Transfer,5851.12,Pending
109,809,2024-10-11 01:46:27,Deposit,9688.66,Failed
110,803,2024-02-25 01:46:27,Payment,6887.18,Success
111,381,2024-12-29 01:46:27,Withdrawal,1585.41,Success
112,703,2024-04-02 01:46:27,Transfer,9309.18,Failed
113,62,2025-01-13 01:46:27,Transfer,6449.3,Failed
114,550,2024-12-20 01:46:27,Withdrawal,4883.55,Pending
115,572,2024-03-19 01:46:27,Transfer,8057.2,Pending
116,751,2024-11-06 01:46:27,Deposit,6895.61,Pending
117,742,2024-12-06 01:46:27,Transfer,8987.64,Pending
118,724,2024-07-03 01:46:27,Transfer,5431.91,Pending
119,195,2024-04-28 01:46:27,Withdrawal,5440.77,Pending
120,750,2024-06-18 01:46:27,Transfer,8677.94,Failed
121,937,2024-05-05 01:46:27,Withdrawal,698.08,Success
122,461,2024-09-14 01:46:27,Transfer,5420.64,Pending
123,1,2024-03-23 01:46:27,Payment,7339.24,Success
124,635,2024-08-10 01:46:27,Withdrawal,3213.73,Success
125,675,2024-05-13 01:46:27,Payment,1906.8,Failed
126,510,2024-05-06 01:46:27,Withdrawal,6134.26,Pending
127,420,2024-03-21 01:46:27,Transfer,1113.54,Failed
