CustomerID,ProductID,ProductCategory,TransactionDate,Revenue,Cost,Region,ShippingType,PaymentMethod,RiskFlag,OnTimeDelivery,Returns,TaxBracket,CampaignID
1860,421,Automotive,2023-05-06 08:29:47.323152,462.95,713.7,North,Standard,Bank Transfer,Low,True,1,Low,37
4772,445,Electronics,2023-10-29 08:29:47.323200,2675.16,1362.12,South,Overnight,PayPal,Medium,True,0,Low,99
4092,344,Automotive,2025-01-05 08:29:47.323212,1112.37,2724.89,West,Overnight,Bank Transfer,Medium,True,0,High,68
1466,405,Electronics,2024-09-21 08:29:47.323221,1732.04,2012.59,East,Standard,Bank Transfer,High,True,0,High,6
5426,113,Clothing,2024-01-26 08:29:47.323230,3239.92,3733.65,North,Standard,Debit Card,Medium,True,0,Medium,44
4444,115,Automotive,2023-11-21 08:29:47.323238,184.78,874.61,West,Overnight,Credit Card,High,False,1,Low,70
4171,141,Clothing,2024-06-20 08:29:47.323247,2989.43,1475.91,East,Overnight,Debit Card,High,True,0,Low,92
3919,209,Home & Kitchen,2023-05-30 08:29:47.323259,1453.04,1339.51,North,Overnight,Crypto,Medium,True,0,Medium,77
1130,377,Automotive,2024-02-13 08:29:47.323269,3363.95,966.78,South,Overnight,Debit Card,High,True,0,Medium,71
2685,423,Home & Kitchen,2023-10-03 08:29:47.323277,750.83,3972.89,South,Standard,PayPal,High,True,0,High,38
1769,118,Home & Kitchen,2024-07-17 08:29:47.323287,3692.27,1567.29,South,Express,Debit Card,High,True,0,High,96
3391,165,Electronics,2024-10-13 08:29:47.323295,3245.92,3763.82,East,Standard,Bank Transfer,High,True,0,Medium,63
3433,266,Home & Kitchen,2024-06-24 08:29:47.323303,4857.65,1580.18,South,Express,PayPal,Low,False,0,Low,86
2184,172,Electronics,2023-02-10 08:29:47.323311,4560.62,840.24,West,Standard,PayPal,Low,True,0,Low,99
5555,499,Electronics,2024-03-17 08:29:47.323319,1452.35,503.25,East,Overnight,Crypto,Low,True,0,High,40
4385,409,Electronics,2024-11-09 08:29:47.323328,185.22,3426.59,South,Express,Crypto,High,False,0,Low,54
5117,211,Electronics,2023-08-12 08:29:47.323335,3294.07,157.43,West,Standard,Bank Transfer,Medium,True,0,Low,19
5843,373,Electronics,2023-03-04 08:29:47.323344,3034.29,3858.65,West,Standard,Credit Card,Low,True,0,Medium,24
3904,472,Clothing,2023-11-25 08:29:47.323352,185.77,1690.22,North,Standard,PayPal,High,True,0,High,97
1474,184,Electronics,2025-01-22 08:29:47.323360,657.25,1012.08,North,Overnight,Bank Transfer,Low,True,0,Low,1
2082,238,Automotive,2023-05-05 08:29:47.323369,2944.27,2481.26,West,Standard,Crypto,Low,True,1,Low,53
3558,138,Electronics,2024-09-03 08:29:47.323377,4563.54,557.66,North,Standard,Crypto,Low,True,0,High,84
3047,204,Clothing,2024-10-24 08:29:47.323386,4537.18,316.42,North,Overnight,Credit Card,Low,True,0,Low,7
3747,423,Automotive,2023-02-02 08:29:47.323394,799.85,3316.3,East,Express,PayPal,High,False,1,High,47
1975,380,Automotive,2024-10-21 08:29:47.323402,1953.64,1715.94,South,Express,PayPal,Low,True,0,Medium,43
