CustomerID,TransactionDate,Revenue,Cost,RiskFactor,Assets,Region,Age,ProductCategory,LastTransactionDate,TransactionSize,DeliveryTime,ExpectedSLA,ExchangeRate,Engagement,TransactionFrequency
4174,2024-07-26 08:29:04.764845,2937.96,3833.19,0.4390530399513951,19470,North,58,Electronics,2023-10-12 08:29:04.799551,178.08,6,3,1.086380791981695,3,39
4507,2024-03-14 08:29:04.764893,2339.92,2366.45,0.28775424056232457,6623,West,35,Clothing,2023-09-11 08:29:04.799576,528.21,2,5,0.8078799197352047,4,13
1860,2025-01-17 08:29:04.764905,4100.59,73.86,0.1522706856722975,5430,West,23,Automotive,2023-10-25 08:29:04.799583,246.52,4,5,0.8501462478574399,7,17
2294,2024-07-30 08:29:04.764915,3432.47,267.05,0.5278742078895624,3050,South,23,Home & Kitchen,2023-05-12 08:29:04.799589,938.59,5,3,1.1360802623633233,5,9
2130,2024-10-11 08:29:04.764924,958.64,3971.67,0.5942535671999187,17839,West,23,Clothing,2023-06-21 08:29:04.799594,476.05,9,5,0.9522893045402847,7,13
2095,2024-04-15 08:29:04.764933,4113.55,315.63,0.568785682654175,9271,West,21,Home & Kitchen,2023-11-18 08:29:04.799600,995.16,1,6,1.1346873417812224,6,16
4772,2024-04-10 08:29:04.764942,2172.98,212.8,0.11654836343355401,10629,South,58,Clothing,2023-04-29 08:29:04.799605,94.19,9,3,0.8250697035296474,4,37
4092,2024-06-29 08:29:04.764952,985.48,1431.51,0.5699873195387432,16840,West,26,Clothing,2023-07-18 08:29:04.799613,171.2,1,5,1.1077485417932322,2,30
2638,2024-10-02 08:29:04.764962,1444.9,3878.19,0.16841410680514102,18881,West,41,Home & Kitchen,2023-08-01 08:29:04.799620,471.05,1,3,0.8335068137439627,6,39
3169,2024-12-06 08:29:04.764971,1374.26,1295.14,0.663714165451469,7483,East,33,Clothing,2023-04-14 08:29:04.799625,880.64,4,4,0.9873306571196523,6,33
1466,2025-01-03 08:29:04.764980,2620.07,1657.24,0.4293839966655334,10357,North,65,Home & Kitchen,2023-12-06 08:29:04.799631,577.46,6,5,1.1750294566973825,6,40
2238,2024-10-04 08:29:04.764988,1210.13,2547.29,0.8487885877391554,2630,East,35,Electronics,2023-05-28 08:29:04.799636,745.73,2,5,0.8310712277950407,1,6
1330,2024-06-23 08:29:04.764996,661.65,125.72,0.7782657447937787,4240,East,33,Automotive,2023-10-10 08:29:04.799642,452.38,1,6,0.9402648518185036,6,12
2482,2024-06-13 08:29:04.765004,662.27,3594.12,0.7243820515166337,19384,West,30,Clothing,2023-09-14 08:29:04.799647,88.49,4,6,1.0073394394590054,2,2
3135,2024-12-08 08:29:04.765013,2937.22,2092.19,0.7007370993343023,5807,North,22,Home & Kitchen,2023-02-07 08:29:04.799652,665.42,8,5,1.1597829239773343,5,33
4444,2024-04-10 08:29:04.765021,3687.06,1883.24,0.560488039478102,13404,North,39,Home & Kitchen,2023-12-22 08:29:04.799657,652.3,6,3,0.9330428775972393,7,15
4171,2024-03-15 08:29:04.765029,1641.59,3447.08,0.06111357612834434,7267,West,55,Automotive,2023-09-01 08:29:04.799662,117.86,5,5,1.1228166445526708,1,17
3919,2024-06-11 08:29:04.765037,221.52,3813.71,0.655489623533001,18381,East,20,Automotive,2023-06-14 08:29:04.799668,212.34,1,6,1.0872692131200468,5,35
4735,2024-08-25 08:29:04.765045,679.76,1711.0,0.46692217756371523,14082,East,55,Automotive,2023-10-19 08:29:04.799673,502.35,3,6,0.9228269484914154,9,31
1130,2024-05-06 08:29:04.765054,4577.74,714.59,0.469554713993533,3644,East,56,Clothing,2023-10-18 08:29:04.799679,474.31,7,5,0.9363252973240603,3,30
2685,2025-01-09 08:29:04.765072,2493.04,3268.37,0.3790221954662697,10643,North,62,Home & Kitchen,2023-04-07 08:29:04.799684,764.8,3,3,0.8764048739919391,2,38
4380,2024-12-08 08:29:04.765080,2295.19,1630.94,0.9290709148417106,10151,West,56,Clothing,2023-09-24 08:29:04.799689,418.04,5,5,1.0771849472584427,2,16
1769,2024-04-30 08:29:04.765089,238.34,3744.12,0.24945126695243236,8525,North,38,Clothing,2023-08-24 08:29:04.799694,680.14,6,5,1.025240955745826,3,42
