OrderID,ItemID,StockLevel,OrderStatus,OrderDate,Warehouse,Price,ReorderLevel,Category,SupplierName,Quantity,CustomerID,PaymentMethod,DispatchDate
10001,Item_1,-1.0,Pending,2024-11-24 09:21:06.789437,WH3,730.601,Not Required,APPLIANCES,Supplier_D,16.0,CUST_3196,Bank Transfer,
10002,,500.0,Delivered,,,963.191,,CLOTHING,Supplier_D,,CUST_1732,Cash,
10003,Item_3,10117.0,Shipped,2024-05-23 09:21:06.789479,WH3,630.349,Not Required,CLOTHING,Supplier_B,,,Credit Card,
10004,Item_4,8242.0,Delivered,2024-09-29 09:21:06.789482,WH2,160.661,,TOYS,Supplier_B,,CUST_4193,Cash,
10005,,-1.0,Delivered,,,948.694,,CLOTHING,Supplier_A,,,Cash,2025-02-04 09:21:06.829320
10006,,,Delivered,2024-12-06 09:21:06.789488,WH3,864.661,38,APPLIANCES,Supplier_C,,CUST_2209,Debit Card,2025-01-31 09:21:06.829324
10007,,-5.0,Delivered,2024-05-12 09:21:06.789491,WH2,767.593,45,FURNITURE,,,CUST_3538,PayPal,2025-02-06 09:21:06.829327
10008,Item_8,3708.0,Pending,,,518.324,,CLOTHING,Supplier_A,16.0,CUST_3689,PayPal,
10009,,9357.0,Cancelled,,,298.966,,FURNITURE,Supplier_D,,,Debit Card,
10010,,-5.0,Cancelled,2024-03-24 09:21:06.789503,,709.913,Not Required,TOYS,Supplier_A,7.0,CUST_2625,PayPal,
10011,,700.0,Pending,,,869.756,4,FURNITURE,Supplier_D,,,Debit Card,
10012,,-1.0,,,,743.234,46,APPLIANCES,Supplier_D,,CUST_1889,Bank Transfer,2025-02-01 09:21:06.829342
10013,Item_13,700.0,Delivered,,,321.158,Not Required,APPLIANCES,,,,Debit Card,2025-02-05 09:21:06.829345
10014,,700.0,Pending,,WH2,775.705,36,CLOTHING,Supplier_B,,CUST_4890,PayPal,2025-02-02 09:21:06.829348
10015,Item_15,700.0,Delivered,2024-09-17 09:21:06.789516,WH1,572.718,,ELECTRONICS,Supplier_C,8.0,CUST_2876,Bank Transfer,2025-02-01 09:21:06.829350
10016,,-5.0,Shipped,,WH2,350.086,20,CLOTHING,,,CUST_3794,PayPal,2025-02-02 09:21:06.829352
10017,Item_17,-5.0,Shipped,,WH2,629.744,Not Required,TOYS,Supplier_D,,,Bank Transfer,
10018,,500.0,,,WH1,392.675,Not Required,CLOTHING,Supplier_D,,,Credit Card,2025-02-05 09:21:06.829358
