id,category,value,timestamp
1,Food,30.12,2023-01-01 00:00:00
2,Furniture,231.26,2023-01-01 00:01:00
3,Books,732.3,2023-01-01 00:02:00
4,Furniture,132.35,2023-01-01 00:03:00
5,Furniture,194.71,2023-01-01 00:04:00
6,Clothing,663.01,2023-01-01 00:05:00
7,Books,810.1,2023-01-01 00:06:00
8,Books,170.86,2023-01-01 00:07:00
9,Books,555.32,2023-01-01 00:08:00
10,Furniture,189.53,2023-01-01 00:09:00
11,Food,216.5,2023-01-01 00:10:00
12,Books,487.16,2023-01-01 00:11:00
13,Furniture,677.13,2023-01-01 00:12:00
14,Clothing,578.45,2023-01-01 00:13:00
15,Food,101.5,2023-01-01 00:14:00
16,Clothing,292.71,2023-01-01 00:15:00
17,Food,938.78,2023-01-01 00:16:00
18,Furniture,631.37,2023-01-01 00:17:00
19,Electronics,661.54,2023-01-01 00:18:00
20,Food,219.03,2023-01-01 00:19:00
21,Clothing,958.65,2023-01-01 00:20:00
22,Furniture,214.45,2023-01-01 00:21:00
23,Food,258.65,2023-01-01 00:22:00
24,Electronics,515.0,2023-01-01 00:23:00
25,Electronics,501.01,2023-01-01 00:24:00
26,Books,42.3,2023-01-01 00:25:00
27,Books,746.34,2023-01-01 00:26:00
28,Clothing,105.49,2023-01-01 00:27:00
29,Food,63.49,2023-01-01 00:28:00
30,Food,512.09,2023-01-01 00:29:00
31,Books,57.77,2023-01-01 00:30:00
32,Food,208.67,2023-01-01 00:31:00
33,Food,397.04,2023-01-01 00:32:00
34,Electronics,607.09,2023-01-01 00:33:00
35,Books,784.92,2023-01-01 00:34:00
36,Furniture,296.66,2023-01-01 00:35:00
37,Books,476.47,2023-01-01 00:36:00
38,Furniture,954.54,2023-01-01 00:37:00
39,Electronics,396.31,2023-01-01 00:38:00
40,Clothing,712.55,2023-01-01 00:39:00
41,Food,278.65,2023-01-01 00:40:00
42,Electronics,626.98,2023-01-01 00:41:00
43,Food,806.68,2023-01-01 00:42:00
44,Clothing,915.08,2023-01-01 00:43:00
45,Clothing,938.15,2023-01-01 00:44:00
46,Electronics,309.01,2023-01-01 00:45:00
47,Clothing,208.87,2023-01-01 00:46:00
48,Furniture,815.9,2023-01-01 00:47:00
